cell_type	day	molecule	dose	log2FC	pinhib	pval	padj	log10padj	hit
OCI-Ly1	D5	3,3'-Diindolylmethane	500	0.658573023687036	1.57852052938722	1.3076149034547e-05	5.40316346899206e-05	4.26735189298139	Not a hit
OCI-Ly1	D5	3,3'-Diindolylmethane	1000	0.461299384776892	1.37678127845176	9.39413590750406e-09	4.72946152584687e-08	7.32518830316615	Not a hit
OCI-Ly1	D5	4-iodo-SAHA	100	-0.191204047831769	0.875874426849659	0.154322257514644	0.186721405501144	0.728805892237577	Not a hit
OCI-Ly1	D5	4-iodo-SAHA	500	-1.86017131718328	0.275443568647941	0.00114210415770857	0.00320329156130143	2.49440353036472	Not a hit
OCI-Ly1	D5	4-iodo-SAHA	1000	-3.62274664265748	0.081179167611365	3.01925677058062e-68	3.48009069872187e-67	66.4584094372485	Hit
OCI-Ly1	D5	4-pentynoyl-Coenzyme A (trifluoroacetate salt)	100	0.154733728332401	1.11321613802323	0.31805311386258	0.350018250934196	0.455909309725844	Not a hit
OCI-Ly1	D5	4-pentynoyl-Coenzyme A (trifluoroacetate salt)	500	-0.208607534442239	0.865372071265933	0.49489435457975	0.519817091860745	0.284149444768113	Not a hit
OCI-Ly1	D5	4-pentynoyl-Coenzyme A (trifluoroacetate salt)	1000	-0.0111643336439335	0.992291338919728	0.904397622092093	0.906467181868048	0.0426479146700901	Not a hit
OCI-Ly1	D5	5-Azacytidine	100	0.898142123347963	1.86366444361998	0.00176318690862089	0.00456967968033106	2.34011424149256	Not a hit
OCI-Ly1	D5	5-Azacytidine	500	0.335027271800495	1.26140125334253	0.148614023976321	0.181317388583924	0.741560544476349	Not a hit
OCI-Ly1	D5	5-Azacytidine	1000	0.432583453996072	1.34964824804297	0.00674404119006716	0.0128430001793453	1.89133351138135	Not a hit
OCI-Ly1	D5	5-Methyl-2'-deoxycytidine	100	0.919118115837143	1.89095904311904	0.00648309746346307	0.012564587119455	1.90085177803746	Not a hit
OCI-Ly1	D5	5-Methyl-2'-deoxycytidine	500	0.727749397062967	1.65605363335188	0.00753846396034128	0.0141104581821773	1.85045888399472	Not a hit
OCI-Ly1	D5	5-Methyl-2'-deoxycytidine	1000	0.578982748997003	1.49379559496849	0.0374991471683778	0.0535004119210081	1.27164287415948	Not a hit
OCI-Ly1	D5	5-Methylcytidine	100	-0.186171417685664	0.87893512167042	0.153318648159927	0.186020963695424	0.73043811006052	Not a hit
OCI-Ly1	D5	5-Methylcytidine	500	-0.0397434653919554	0.972827916636039	0.236761765720432	0.268930386669018	0.570360123707924	Not a hit
OCI-Ly1	D5	5-Methylcytidine	1000	-0.0232742178681812	0.983996972664516	0.860198392080316	0.866130794784318	0.0624165200335561	Not a hit
OCI-Ly1	D5	6-Thioguanine	100	0.898946829764303	1.86470424830706	5.18855957792557e-06	2.2725890951314e-05	4.64347908158655	Not a hit
OCI-Ly1	D5	6-Thioguanine	500	-0.594570826745257	0.662241429632039	0.000387205004141552	0.00129462436499236	2.88785622376474	Not a hit
OCI-Ly1	D5	6-Thioguanine	1000	-3.54858500160135	0.0854612955773507	4.36374209570865e-117	8.68781380872904e-116	115.061089495157	Hit
OCI-Ly1	D5	AGK2	100	-0.183751314746069	0.88041076171389	0.186349377120667	0.218238040585166	0.661069546248644	Not a hit
OCI-Ly1	D5	AGK2	500	-0.0545547028713388	0.962891599941949	0.576167009101334	0.595191391477321	0.225343358814552	Not a hit
OCI-Ly1	D5	AGK2	1000	0.119977233058039	1.08671771307062	0.285735948047486	0.316841380366579	0.499158103309612	Not a hit
OCI-Ly1	D5	AGK7	100	0.410986949091788	1.32959508034399	0.00561724867980481	0.0111712244007613	1.9518992242566	Not a hit
OCI-Ly1	D5	AGK7	500	0.205528580336023	1.15310874997447	0.18123215362544	0.212814164310838	0.671999469998606	Not a hit
OCI-Ly1	D5	AGK7	1000	-0.169464450858063	0.889172693598298	0.156965552354524	0.189396451601326	0.722628161892404	Not a hit
OCI-Ly1	D5	AK-7	100	0.828001495120969	1.77522451427223	0.0140103852107226	0.0230196296233144	1.63790166827551	Not a hit
OCI-Ly1	D5	AK-7	500	0.652537079798482	1.57193011525339	0.0206190226070489	0.0329603354083482	1.48200837751941	Not a hit
OCI-Ly1	D5	AK-7	1000	0.615342393678432	1.5319215236843	0.0122119286117924	0.0207318788060662	1.68336133861364	Not a hit
OCI-Ly1	D5	AMI-1 (sodium salt)	100	0.894272932519467	1.85867294346305	7.94992316222834e-05	0.000295090368225086	3.53004496567782	Not a hit
OCI-Ly1	D5	AMI-1 (sodium salt)	500	0.725352695829618	1.65330477052251	1.11895042025609e-15	7.42576187988132e-15	14.1292589813032	Not a hit
OCI-Ly1	D5	AMI-1 (sodium salt)	1000	0.588765362005943	1.50395912959315	0.00673503379966787	0.0128430001793453	1.89133351138135	Not a hit
OCI-Ly1	D5	Anacardic Acid	100	0.821924105519201	1.76776206470984	0.00934423431512695	0.0167052025715331	1.77714825362863	Not a hit
OCI-Ly1	D5	Anacardic Acid	500	0.601806710361272	1.51761591195294	0.00762014556173917	0.0141424735425498	1.84947462505603	Not a hit
OCI-Ly1	D5	Anacardic Acid	1000	0.651820577692406	1.57114962348546	0.0304008085412847	0.0454455772733198	1.34250837557189	Not a hit
OCI-Ly1	D5	Apicidin	100	-0.047861467024372	0.967369215565695	0.539078501513582	0.56084651701413	0.251155972850348	Not a hit
OCI-Ly1	D5	Apicidin	500	-3.62947077943032	0.0808016867796815	1.93785646159724e-30	1.57181690773998e-29	28.8035980439132	Hit
OCI-Ly1	D5	Apicidin	1000	-5.80270110482331	0.0179148390843386	2.47659248867591e-124	8.34421161569268e-123	122.078614690396	Hit
OCI-Ly1	D5	B32B3	100	0.928401740715533	1.90316644497148	0.00291788334119432	0.00690828596455736	2.16062969336011	Not a hit
OCI-Ly1	D5	B32B3	500	0.332191728480654	1.2589244684846	2.82758789801627e-09	1.49214879437485e-08	7.82618786764492	Not a hit
OCI-Ly1	D5	B32B3	1000	-0.733927202386782	0.601264963189216	0.00308290796556957	0.00719218917686826	2.14313889783358	Not a hit
OCI-Ly1	D5	BIX01294 (hydrochloride hydrate)	100	0.901628388391533	1.86817342480075	0.0103137643279398	0.0179977242057276	1.74478240752895	Not a hit
OCI-Ly1	D5	BIX01294 (hydrochloride hydrate)	500	0.806479137585617	1.74893798918745	0.00474210889387083	0.00966066835123453	2.01499282687515	Not a hit
OCI-Ly1	D5	BIX01294 (hydrochloride hydrate)	1000	0.604782577240032	1.52074954992958	0.00384461717886727	0.00846202173037118	2.07252586374023	Not a hit
OCI-Ly1	D5	BML-210	100	0.114104222026589	1.08230282856093	0.23700257820603	0.268930386669018	0.570360123707924	Not a hit
OCI-Ly1	D5	BML-210	500	-0.14063527415837	0.907119627671225	0.315932734524596	0.348560548417564	0.4577217697623	Not a hit
OCI-Ly1	D5	BML-210	1000	-0.439695016129345	0.737290454423177	0.00720521116877554	0.0135445600511746	1.86823509697635	Not a hit
OCI-Ly1	D5	BRD73954	100	1.00160705034128	2.00222908611015	0.00148654604386543	0.00397016565373816	2.40119137207732	Not a hit
OCI-Ly1	D5	BRD73954	500	0.784210790728018	1.72214997990598	5.93279364450108e-06	2.57283526365492e-05	4.58958802038741	Not a hit
OCI-Ly1	D5	BRD73954	1000	0.472955186168149	1.38794960504867	0.0337854505363525	0.0493670165767512	1.30656311793754	Not a hit
OCI-Ly1	D5	Bromosporine	100	-1.22028142026955	0.429198988066082	5.26055696676306e-09	2.74300470409788e-08	7.56177344760437	Hit
OCI-Ly1	D5	Bromosporine	500	-2.20961843720668	0.216191478410141	1.2401127020863e-26	9.69945291988927e-26	25.0132527606383	Hit
OCI-Ly1	D5	Bromosporine	1000	-4.82171124516611	0.0353606536763632	2.46021090979803e-30	1.95922250634825e-29	28.7079162389457	Hit
OCI-Ly1	D5	BSI-201	100	0.962007890653377	1.94801919152262	0.0121779380156759	0.0207318788060662	1.68336133861364	Not a hit
OCI-Ly1	D5	BSI-201	500	0.541562630381329	1.45554821589814	0.116954514056356	0.14588487301835	0.835989738300174	Not a hit
OCI-Ly1	D5	BSI-201	1000	0.691219520925574	1.61464781563189	0.0443040923772364	0.0619974200039283	1.20762638310451	Not a hit
OCI-Ly1	D5	Butyrolactone 3	100	0.886012797278405	1.84806153786129	0.00473086080132432	0.00966066835123453	2.01499282687515	Not a hit
