baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	500.189930096387	0.235925529582485	0.0957190839393529	2.46477003198198	0.0137101213545579	0.0467778642047098
A1BG-AS1	278.614955505048	0.201464954096316	0.12688258925827	1.5878061385257	0.112330182971695	0.264442300115729
A1CF	2.46416147043331	0.207348505211755	1.21643479544028	0.170455914274227	0.86465160223337	0.940135447365392
A2M	9.63922801862769	-0.435904221197964	0.622184051446756	-0.700603334631226	0.483550596799398	0.70241592931608
A2M-AS1	1.31702836107867	-1.42127859332012	1.72632340389026	-0.823297992784709	0.410338554797696	0.636719577469517
A2ML1	11.2815459775594	0.0905471811152	0.561663782318156	0.161212426305083	0.871926094356912	0.943237325866082
A4GALT	3.868986866118	0.818309535969459	0.971527794637235	0.842291430555534	0.399624846572446	0.625635173002075
AAAS	319.83950519598	-0.323956983837155	0.113347226242224	-2.85809361708469	0.00426194631445783	0.0166792063891065
AACS	456.161268806901	0.598546641873012	0.0922520513768659	6.48816620269878	8.68874028116624e-11	9.0870431689759e-10
AAGAB	655.44614041704	-0.20141571873641	0.079742874633602	-2.52581462183127	0.0115430372401025	0.040274710743268
AAK1	486.568706218713	0.431958655980401	0.0925513477483851	4.66723247677328	3.05283849204106e-06	2.03095135867934e-05
AAMDC	102.257957730381	-0.0167231100905364	0.188174418430775	-0.0888702631845168	0.929185016557742	0.967539485328869
AAMP	865.599861580623	-0.178547194720145	0.0740571926751789	-2.41093657848021	0.0159116150653139	0.0532932337039144
AANAT	33.7555114968422	-0.740426606878362	0.336178452412761	-2.20248085968717	0.0276313596948083	0.0852728350150599
AAR2	471.605230150931	-0.258746228275869	0.0916537530107926	-2.82308383209797	0.00475641327323421	0.0183886179386967
AARS1	2402.38975969632	0.637773705175056	0.0493059446912226	12.9350265808535	2.85524316428404e-38	1.20285333509173e-36
AARS2	741.727132684416	-0.130901420847362	0.0745466537905812	-1.75596642090864	0.079094142334385	0.201599800778644
AARSD1	174.427336339495	-0.379235121795416	0.149323796389294	-2.53968309784151	0.011095295193554	0.0389268801764048
AARSD1P1	1.1070224159441	0.0465951079789648	1.85403344077166	0.0251317516471395	0.979949874023468	0.9915070224149
AASDH	381.656089308232	0.160615034420451	0.103674602197133	1.54922257733912	0.121328223888005	0.280927537796347
AASDHPPT	469.496828276171	-0.633209874927209	0.0942865884465848	-6.71580004494419	1.87037130387709e-11	2.08660725482312e-10
AATBC	51.2626233591115	0.57354355953564	0.266485254300351	2.15225251784179	0.03137747132949	0.0948000197614378
AATF	545.290792416231	-0.472232248376264	0.0875753532419525	-5.39229624425932	6.95629586645294e-08	5.54752386890404e-07
AATK	5.43845982847276	4.18669444241486	1.2455546830065	3.36130922193562	0.000775739255490987	0.0035842852781059
ABALON	236.303250836303	0.451968075639095	0.126147768471749	3.58284638019827	0.000339870499415312	0.00168574130273081
ABAT	46.0792507531178	1.14667921254897	0.286847725157439	3.99751893419969	6.40098723685512e-05	0.000357292652543129
ABCA1	43.4278182772544	0.851310769852043	0.294945792184683	2.88632959821643	0.00389763743961314	0.0153998282334631
ABCA10	20.5166398123389	1.83095672071715	0.447513581899073	4.09139922177844	4.28778271113587e-05	0.000244558022222403
ABCA11P	71.2518805752223	-0.0700518850262727	0.224375505143239	-0.312208255449062	0.75488225853058	0.874953927586329
ABCA12	5.2407092422825	-0.116380037124641	0.810202173625987	-0.143643205255538	0.885782221561805	0.94889209120411
ABCA17P	6.85774965307643	-0.760353880725628	0.760472290256556	-0.999844294746246	0.317385865955407	0.545535147477578
ABCA2	233.304853971318	1.13681343314581	0.128662283581024	8.83563855315777	9.95280930512838e-19	1.79368353253911e-17
ABCA3	43.9933029053656	0.295197798772345	0.291320866744662	1.01330811647997	0.310913011886538	0.538551883042752
ABCA5	538.790584832481	0.826256626097627	0.0904456225398609	9.13539652771457	6.51675128857009e-20	1.25475075657892e-18
ABCA6	4632.3204482859	0.00784764579623965	0.0540289183501288	0.145248989538969	0.88451428795767	0.948518560674375
ABCA7	23119.4717132539	0.987169623413323	0.0340164778767553	29.0203361732489	3.6448467658569e-185	2.92867882571682e-182
ABCA8	18.3039595385371	1.24899381656815	0.454974211822295	2.7451969454831	0.00604745933383941	0.0227584533120865
ABCA9	284.325034693027	1.20415005312544	0.121174055141825	9.93735871689749	2.86318123274978e-23	6.63790587837499e-22
ABCA9-AS1	6.76931991550025	0.994001782699895	0.727052813878486	1.36716585607772	0.171573324877844	0.361424107345462
ABCB1	0.785110208398122	2.0481908640055	2.29727962474472	0.891572293570096	0.372622226258617	0.602765304580704
ABCB10	847.838568623918	-0.333924966157716	0.0781064653016615	-4.27525384573526	1.90919637686135e-05	0.000114253524867067
ABCB10P3	0.682052264506948	3.06690043922928	2.50020597033545	1.22665911353607	0.219950741083501	0.431698374397073
ABCB11	2.12527709968151	-0.519209467451421	1.32801364614837	-0.390966967061883	0.695821652862529	0.841628637409405
ABCB4	202.300723810617	0.455938190282363	0.139867916198498	3.25977681425742	0.00111499916005487	0.00497933202234618
ABCB5	0.499386696353996	2.72278637097556	2.76144938441104	0.985999014266301	0.324133596573606	0.550794718394846
ABCB6	240.488480288776	0.334540606253622	0.131280602497164	2.54828664623816	0.0108253480944882	0.0381055954295139
ABCB7	544.695395998777	-0.226021566482435	0.0874152677939946	-2.58560743662176	0.00972075727221826	0.0346730865716715
ABCB8	496.675617180394	0.0638865057037524	0.0915863222274175	0.697555095018622	0.485455472624727	0.704282415454862
