OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
GINS1	2255.87	1649.46	2354.24	2160.92	2408.64	1726.85	2377.38	1816.31	2289.33
GINS2	3348	2367	3371	3545	3332	2619	5414	3930	4503
GINS3	959.646	683.3322	936.652	987.118	966.929	723.9914	1459.446	1099.0219	1212.521
GINS4	1816.46	1256.41	1738.73	1825.09	1825.66	1263.06	2514.11	1952.13	2273.49
GIP	0	0	0	0	0	0	0	0	1
GIPC1	1198.999911552	739.0012	1002.9997	1097.9998252	995.9999753	738.00080190538	1459.9987	1232.000239367	1198.0005
GIPC2	1	0	1	3	1	0	1	2	2
GIPC3	0	0	0	0	1	0	0	0	0
GIPR	96	70	91	100	97	63	148	98	121
GIT1	1215.002	697.0004	930.0001	1055.0004	989.0005	730.0003	1338.0014	1131	1412.999
GIT2	1219.00060002523	760.9994	1262.0002	1154.9993259	1088.00000339041	922.000343528	1577.0006	1291.00000002318	1426.99933756883
GJA1	20	20	35	14	32	13	21	9	26
GJA10	1	0	0	0	0	0	0	0	0
GJA3	0	0	0	1	1	0	13	6	9
GJA4	0	0	3	2	1	0	2	0	4
GJA5	0	0	0	0	0	0	0	0	0
GJA8	0	0	0	0	0	0	0	0	0
GJA9	0	22.554	28.2424	0	0	1.63437e-05	0	0	0
GJA9-MYCBP	118.514	62.5307	84.9011	144.33871	111.279	67.74147	164.5298194131	136.175500065274	130.62987
GJB1	0	0	0	0	0	0	0	0	0
GJB2	0	0	0	0	0	0	0	2	0
GJB3	2	0	1	1	1	0	0	1	0
GJB4	0	1	0	0	1	0	1	0	0
GJB5	0	1	0	1	0	2	1	0	1
GJB6	0	0	0	0	0	0	4	0	0
GJB7	63	35	61.1372	46	56	28.4148	74	45	62.2922
GJC1	1339.843	864.23	1265.4096	1288.4856	1428.224	991.386	1773.05	1165.8912	1511.885
GJC2	0	3	6	11	4	2	11	15	5
GJC3	9	4	5	6	2	7	5	2	14
GJD2	0	0	0	0	0	0	0	0	0
GJD3	48	28	54	67	51	41	171	122	172
GJD4	55.4097	43.9383	59.3837	49.0209	46.4025	36.3178	39.9525	46.1131	41.2106
GK	691.09847	347.7538	692.75456	565.4303	709.55931	507.01061	1242.9797	917.63876	1153.3779
GK2	0	0	0	0	0	0	0	0	0
GK3P	21.1594	8.81697	15.1536	15.3654	27.407	12.0581	18.5986	11.2723	7.62064
GK5	3348.16	2246.39	3330.67	2940	3275.63	2362.04	3371.34	2774.62	3095.25
GKAP1	210.686	130	260.522	243.697	271.746	232	613	450	482
GKN1	0	0	0	0	0	0	0	0	0
GKN2	0	0	0	0	0	0	0	0	0
GLA	620	460	604	665	593	424	932	628	757
GLB1	790	557.814	773.6323	769.643	739.00011	594.0002	1109.82401	936	996.9999
GLB1L	114.567	80.6801	154.073	107.35	98.5293	96.1167	131.738	116.772	113.995
GLB1L2	0	0	0	0	0	0	0	0	0
GLB1L3	70.9954	50.5344	69.815	60.3391	45.0313	41.2199	64.554	38.3684	65.5529
GLCCI1	1861.34	1295.61	1906.68	2119.53	2258.08	1727.81	4006.98	3551.71	3986.63
GLCE	282	191	343	302	345	272	601	440	574
GLDC	9	6	8	8	10	1	37	26	23
GLDN	27.8845	24.7181	18.2115	13.002	16.3428	15.4465	22.9373	11.1248	11.1443
GLE1	3072	2330.997	3131.0039	3175.002	2953.997	2308.0014	4626.001	3499	3785.005
GLG1	4177.841	2757.1269	4003.3224	4293.2582	3945.7387	3080.5488	5869.781	4698.3452	5582.07989
GLI1	172.0003	107.99984	179	181	152	106	273.0003	207.9996	289.0001
GLI2	4.01517	3.00417	10.0548	5.02229	3.00809	6.01523	4.00379	9.01867	10.0163
GLI3	0	0	0	0	0	0	0	0	0
GLI4	245	118	186	234	186	130	339	308	354
GLIPR1	1117.86	890.62	1305.78	1206.56	1295.54	1078.23	1943.93	1563.88	1745.3
GLIPR1L1	5	2	7	2	6	2	2	3	5
GLIPR1L2	207.473	153.361	131.927	187.159	200.538	107.703	109.151	121.618	128.642
GLIPR2	8	3	14	8	6	3	67	44	56
GLIS1	0	0	0	0	0	0	0	0	0
GLIS2	87	41	56	64	81	39	100	132	112
GLIS3	0	0	0	0	2	0	0	0	1
GLIS3-AS1	1	0	0	0	0	0	2	0	0
GLMN	984	758	1038	972	1178	853	1282	980	1214
GLO1	5847	4455	6505	5831	6552	4960	7163	5162	6592
GLOD4	1947	1444	2129	1897	2018	1583	3034	2253	2561
GLOD5	0	1	0	0	0	0	0	0	0
GLP1R	0	1.00136	2.00626	1.00368	2.00893	2.00798	3.55778	1.00522	0
GLP2R	0	0	0	0	0	0	0	0	0
GLRA1	13	8	5	14.00001	12	8	20.00003	8.000000330502	7
GLRA2	4.03447	4.00003	9.03855	9.03155	13.0661	3.02808	17.02297	14.0384	9.03794
GLRA3	44.0000067787	32.00000873373	44.99995589	66	64	53	233	155	166.0004
GLRA4	0	0	0	0	0	0	1	0	0
GLRB	0	0	0	1.000000048	2.00000364	0	0	0	0
GLRX	727	480.0005	669.0002	758.9998	711.99973	588.00007	907.99981	771.9995	947.0003
GLRX2	375.99969	310.00017	437.0003072	332.99971	461.99968	338.00024	585.00006	482.9998	540.99958
GLRX3	2855.11	2152.16	2803.17	2836.68	2883.04	2350.794	3303.87	2490.58	2943.58
GLRX5	1327	968	1332	1209	1306	1067	1521	1160	1440
GLS	5141	3838	5377	4599	5642	4257	6689	5005	6104
GLS2	188	114	147	163	119	106	122	98	114
GLT1D1	0	3	0	0	0	0	0	0	4
GLT25D1	2138.18	1361.93	1889.18	1983.86	1897.62	1467.29	2355.94	1981.81	2264.81
GLT25D2	5	2	4	1	5	3	31	33	37
GLT6D1	0	0	0	0	0	0	0	0	0
GLT8D1	1327.285	819	1386.451	1208.833	1235.683	1049.141	1476	1143.889	1282.618
GLT8D2	7	7	8	2	10	5	10	1	1
GLTP	423.788	278.707	414.273	383.413	418.577	342.89	568.036	474.944	488.011
GLTPD1	459	328	399	453	420	306	671	614	606
GLTPD2	11	9	13	11	8	9	22	27	23
GLTSCR1	54	41	47	66	40	43	147	97	124
GLTSCR1L	1185	827	1212	1079	1039	888	1155	1015	1130
GLTSCR2	2353	1486.99	2143	2336	2094	1642	3316	2605	2676
GLUD1	4953	3355	4877.64	5047.86	4953.6	3769.88	7611.74	5665	6607.63
GLUD1P3	128	89	97	112	89	68	121	175	133
GLUD1P7	145.8804	108.3137	120.3111	91.0946	119.37393	80.2681	109.376	69.0249	89.9363
GLUD2	0	0	3.35857	1.14492	3.40034	1.12254	2.25563	0	3.3723
GLUL	92	89.0001	125.000482	158.0003	146.9996	125.99983	699.0002	538.0008	569.0002
GLYAT	34	33	41	36	37	33	51	23	45
GLYATL1	229.99983	147	233.0001	189.0003	169	119	195	184	138
GLYATL2	4	0	4	2	3	3	2	7	6
GLYATL3	0	0	4	0	3	0	4	0	0
GLYCAM1	0	0	0	0	0	0	0	0	0
GLYCTK	416.9992	209.99995	303.000512886	345.9996	288.00006	221	379.9996	282	350.00029
GLYR1	2560.96	1674.17	2441.07	2416.66	2280.96	1712.4	3099.28	2652.63	2838.7
GM140	0	0	0	1	1	0	0	0	0
GM2A	6173.57	4541.48	6155.58	5800.7	5661.15	4433.14	4969.05	3703.74	4424.13
GMCL1	942.547	673	1072.78	1061.96	1099.92	867.8	1118.86	942.934	1121.84
GMCL1P1	82.4531	40	79.2208	49.0352	125.083	78.1996	105.138	84.0659	120.156
GMDS	550	429	550	555	498	425	958	693	821
GMEB1	829.168	631.462	810.484	689.582	732.842	563.163	670.313	488.97	614.92
GMEB2	974	650	797	869	794	641	1081	819	979
GMFB	2294	1719	2652	2077	2908	2189	3547	2818	3538
GMFG	765	678	776	845	805	597	1172	903	1083
GMIP	1060	771	980	1106	917	699	1384	1096	1126
GML	0	0	0	0	0	0	0	0	0
GMNC	0	0	0	0	0	0	0	0	0
GMNN	2235.9991	1469	2346.9995	2152.9996	2242.001	1760	2549.997	1937	2277.994
GMPPA	573	302	478	589	505	395	692	527	652
GMPPB	558.9996	362.9997	492.9999	587.9999	495.0001	394	623.0001	468.99998	554.9997
GMPR	0	0	0	0	0	2	1	1	0
GMPR2	1393	1036.001	1358.001	1429.001	1240.999	1012.999	1993.999	1426	1690.001
GMPS	5054	3542	5253	5048	4623	3987	5158	4030	4527
GNA11	167	109	148	175	177	113	330	254	261
GNA12	337	249	276	309	318	206	687	503	547
GNA13	5142	3674	5533	4975	5747	4375	6456	5133	6258
GNA14	5	0	9	0	1	1	2	0	11
GNA15	0	0	0	0	0	0	0	0	1
GNAI1	2.22983	5.37717	3.55845	0	8.25904	7.17888	18.3999	4.01264	15.5142
GNAI2	3794.004	2507.997	3469.003	3843.004	3368.9955	2702.003	4433.004	3632.0047	3975
GNAI3	3248.21	2255.02	3273.85	3158.49	3610.66	2689.97	4296.86	3158.77	3770.3
GNAL	186.369	118.33	205.218	156.284	170.61	120.395	171.072	123.341	184.385
GNAO1	2	9	4	3	3	4	15.00004	6	5
GNAQ	0	0	0	0	0	0	2	0	0
GNAS	15081.9999	10276.0033	15268.0134	15339.9968	14717.9966	11818.0008	26438.9934	19907.0058	23787.9935
GNAS-AS1	68	88	67	72	78	49	129	85	76
GNAT1	62.1837	45.4791	60.6873	51.1243	66.1259	56.4345	52.8799	7.89195	43.47
GNAT2	48	16	26	48	33	35	52	52	46
GNAT3	0	0	0	0	0	0	0	0	0
GNAZ	73	44	67	77	93	63	242	145	211
GNB1	12576	9042	12511	13348	12609	9629	17746	13989	15796
GNB1L	336.148	216.934	284.277	327.248	261.169	180.4	322.15	289.579	277.029
GNB2	3062	1964	2495	3110	2681	1923	3794	3166	3601
GNB2L1	35932	23257	33843	34378	31648	25551	41214	30726	36006
GNB3	161	96	155	163	166	97	102	113	101
GNB4	551.673	388.061	590.404	467.465	576.424	412.396	666.265	513.976	560.264
GNB5	2073.7702	1531.7148	2024.1898	2042.548	2003.0656	1399.8292	2803.7476	2112.7205	2428.2263
GNE	1155.0146	743.936551	1143.5076	1196.0949	1219.0203	932.1276	1318.2733	1123.2146	1320.3352
GNG10	130.0231	101.3552	153.6169	86.7221	182.4651	108	140.587	145.5227	179.2523
GNG11	202	139	200	178	181	141	126	107	98
GNG12	0	2	0	0	0	1	3	0	1
GNG12-AS1	24	12	15	14	27	8	28	8	30
GNG13	14	11	12	18	14	13	21	13	29
GNG2	187.0002	131	219	194	214	190	211	124	182
GNG3	59	46	85.6467	77.4814	54	46	51	56	60
GNG4	98.2411	94.3465	96.9822	134.278	124.3051	68.4887	144.558	95.7945	127.31817836
GNG5	681	388	812	648	711	597	1057	855	1058
GNG7	497.345	348.488	482.753	471.9	470.824	339.375	743.591	649.171	703.606
GNG8	0	0	1	0	0	0	2	0	3
GNGT1	0	0	0	0	0	1	0	0	0
GNGT2	92.2634	45.21378	103.74746	96.43308	90.63821	62.4104	88.66168	60	92.19419
GNL1	2542.63	1717.79	2396.7	2625.43	2334.01	1856.65	3885.33	3074.4	3320.27
GNL2	4828	3522	5213	4634	4320.99	3703	5281	3705	4368
GNL3	7796.003	5405.999	8199.997	7039.999	7113.997	5891.999	7398.996	5536	6509
GNL3L	4389.89	3167.161	4256.61	4270.45	4104.97	3309.984	5135.23	3822.244	4450.03
GNLY	0	0	0	0	1	0	0	0	0
GNMT	42	15	28	20	18	27	31	45	37
GNN	12	7	8	6	10	10	17	21	12
GNPAT	2967	2319	2941	3078	3125	2268	3858	3218	3515
GNPDA1	1220	840	1144	1203	1129	833	711	630	652
GNPDA2	848.00023	595	976.9998	844.9997	928.00023	741.99989	1182.0004	944.0001	1033
GNPNAT1	1479.04	1084	1581.12	1337.59	1475.75	1123.02	1963.4	1348.71	1607.38
GNPTAB	3207.84	2235.56	3384.72	3108.05	3343.08	2615.53	3472.15	2581.2	3343.67
GNPTG	225.939	200.23	257.535	265.566	279.557	195.066	574	390.596	491.185
GNRH1	28.00001	19.00002	27.99998	38	35.99998	27.00005	30.99997	26.000039	28.99995
GNRH2	5	0.99999965531	2.000000708851	5	1	8	6	0	8
GNRHR	28.000000611834	26.0000000410132	49	29	25	22	31	30	29
GNRHR2	189.325	191.263	266.362	239.327	307.544	171.726	250.181	205.652	259.384
GNS	1722.92	1185.36	1688.62	1673.37	1634.76	1341.6	3290.6	2208.65	2940.55
GOLGA1	756	483	723	704	696	542	1464	966	1237
GOLGA2	1256.97	875.398	1267.27	1419	1353.85	1004.4	2112.76	1832.22	2029.2
GOLGA2P2Y	0	0	0	0	0	0	0	0	0
GOLGA2P3Y	0	0	0	0	0	0	0	0	0
GOLGA2P5	749	508.87	690	703	606	538	916	651	882
GOLGA3	4385.777	2757.494	3766.813	4097.755	3953.199	2832.522	6347.85	5136.54	5685.28
GOLGA4	3394	2435	4061	3574	3652	3119	4963	3765	4224
GOLGA5	1174	846	1247	1182	1177	1041	2064	1558	1747
GOLGA6A	0	0	0	0	0	0	0	0	1.31161
GOLGA6B	0	0	0	0	0	0	1.45866	0	1.31134
GOLGA6C	65.3888	67	95.8159	68.5177	108.595	72	107.555	127.158	148.377
GOLGA6D	8.94665	0	0	0	5.2957	0	0	0	0
GOLGA6L1	0	5.73225e-05	5.79921e-05	5.64426e-05	0.000166463	1.95923e-05	1.07578e-08	5.67649e-05	3.59782e-06
GOLGA6L10	79.17678	48.8023	63.6673	87.1959	51.5849	36.5499	61.3299	116.9014	87.3372
GOLGA6L4	28.1403	37.0901	32.931	50.3042	43.9604	34.6021	86.6793	85.9237	53.0129
GOLGA6L5	82.6328	96.709	129.858	111.641	105.93	89.7045	148.728	118.758	137.056
GOLGA6L6	22.4415	20.4626	13.8068	6.72868	5.51098	27.5768	12.6963	0	14.4768
GOLGA6L7P	17.8912	22.2413	16.6205	18.0844	6.04214	15.1234	23.1097	11.5187	20.2536
GOLGA6L9	182.512	117.724	207.806000308442	168.528000111028	226.681	136.77	310.037	240.341	289.686
GOLGA7	870.9995	651.0004	973.0004	957.0001	937.9999	747	1747.002	1179.9997	1469.0004
GOLGA7B	1	1	0	0	0	0	2	0	4
GOLGA8A	357.575	142.019	284.416	278.523	253.512	232.078	612.011	660.755	611.484
GOLGA8B	4283.348	2668.8345	4193.404	4844.727	4783.482	3455.262	9360.5842	7164.5333	8150.7792
GOLGA8CP	3.02318	0	5.94668	0	3.21666	0	0	0	0
GOLGA8DP	17.8849	16.7261	12.6821	21.8718	18.574	5.7267	5.96414	21.2466	18.9987
GOLGA8EP	9.83426	4.9268	10.188	15.4115	32.2763	32.3735	48.1232	23.4879	33.2611
GOLGA8F	191.432	152.013	193.416	339.669	240.126	53.3067	337.738	183.232	197.987
GOLGA8G	605.011	371.914	528.221	335.2159	674.206	580.517	323.31916264	410.415	515.639
GOLGA8I	100.683	53.4134	111.411	100.009	89.6517	72.8988	79.641	75.8025	77.382
GOLGA8S	102.236	54.2365	82.499	64.4383	105.741	73.844	64.1941	74.5683	78.7458
GOLGA8T	101.207	83.1814	88.2342	92.1441	92.3653	67.8529	104.196	65.2935	67.7542
GOLGB1	2194.0003	1665.999918	2414.001764	2338.00083	2349.99622	1904	4529.9970139	3189.00600011795	3649.9965
GOLIM4	1249	904	1355	1267	1161	1102	2126	1705	1879
GOLM1	103.99976	63.99997	115.99999	80	121.00006	70.00001	232.99983	183.00032	189.0000147454
GOLPH3	1794	1338	1967	1886	1946	1509	3391	2390	2841
GOLPH3L	892.369	603.888	891.425	867.158	927.271	707.897	1252.89	918.866	1052.47
GOLT1A	0	0	0	0	0	0	0	0	0
GOLT1B	565	462	607	489	768	596	1117	871	1016
GON4L	2670.987	1764.63	2605.517	2686.735	2424.844	2076.891	4235.043	3129.789	3618.613
GOPC	2933.38	2158.9	3176.4	2743.265	3107.7767	2320.5063	3675.3499	2747.79	3291.6204
GORAB	262.0002	208.0004	339.9996	289.9997	306.0004	237.0003	586.0004	356.9997	468.9996
GORASP1	174	132	170	168	155	160	304	219	251
GORASP2	2258.001	1488.999	2216.004	2391.001	2227.002	1781.001	2927.004	2306.996	2680.999
GOSR1	2712.567	1900.2131	2498.276	2449.59	2383.522	1779.874	3073.964	2428.1	2688.063
GOSR2	2112.995	1542.9957	2042.0024	2170.996	2083.9997	1555.998	3520.005	2655.002	3077.001
GOT1	1002	737	880	954	1020	794	2260	1611	1866
GOT1L1	0	0	0	0	0	0	0	0	0
GOT2	4869	3164	4479	4689	4386	3458	4969	3803	4585
GP1BA	82	31	61	59	61	66	75	64	78
GP1BB	0	0	0	0	0	0	1.85714	5	0.97058
GP2	67.418675	29.9370445	51.673255	55.572118	44.103194	52.652607	50.020804	35.359057	49.587445
GP5	13.2269	6.04857	6.05215	2.04343	9.06911	3.03923	6.02799	10.0136	3.09211
GP6	148.37000298068	70.773638	114.845000052732	110.78678	115.375587963	74.611400665789	111.1699	101.457	113.945393044863
GP9	0	0	0	0	0	0	0	1	0
GPA33	0	0	0	0	0	0	0	0	7
GPAA1	2161	1346	1626	2117	1954	1261	2466	2410	2522
GPAM	1608.000106497	1086	1628.000137551	1718.998	1718.0007	1498.003	2511.0036	1793.00368245	2230.001
GPANK1	743.4808	523.877700064183	777.373299	843.63835	759.026	564.2362	1275.109	1004.1529	1224.4545
GPAT2	39.3876	14	26.1962	35	23.3046	25	38.2951	46.2795	45
GPATCH1	527	329	565	509	502	417	946	645	795
GPATCH11	799	602	960	778	895	784	1485	967	1098
GPATCH2	562	300	537	488	486	429	850	478	668
GPATCH2L	916.4405	643.796	920.295	924.8306	856.747	737.148	1682.2709	1160.977	1322.0582
GPATCH3	421	308	385	432	357	276	525	458	518
GPATCH4	2924.9986	1780.0033	2714.9953	2624.9986	2501.0007	2111	3031.0026	2601	2695.0041
GPATCH8	1437	903	1489.996	1393.001	1328.001	1135	2197.998	1564.995	1943.997
GPBAR1	21.99999	13	19.99996	23.9999938	15.99996	18	12	5.999997	23
GPBP1	3736	2715.00300020557	4148.0005	3882.9995	4291.999	3270.00019869	6173.0020128119	4488.996	5261.9960138975
GPBP1L1	3786	2713	3826	3669	3809	3011	4913	3651	4265
GPC1	53	35	46	53	56	24	96	85	89
GPC2	229	134	217	243	239	158	379	284	305
GPC3	0	0	0	0	0	0	0	0	0
GPC4	0	0	0	0	0	0	0	0	2
GPC5	0	0	0	1	0	2	5	2	6
GPC5-AS1	0	0	1	4.16633	5	2	2	0	2.25356
GPC6	1052	721	1198	992	1041	791	797	738	965
GPC6-AS2	51	20	68	48	21	45	10	8	24
GPCPD1	4222	2806	4374	4213	4577	3376	6138	4487	5509
GPD1	41	25.0000000215628	21	17	30	10	45	19	24
GPD1L	908	698	1077	978	1129	820	1163	926	1051
GPD2	1397.0043	909.0003	1628.001	1432	1493.005	1167.9972	2144.999	1638.004	2021.004
GPER	10	6	14.000018	12	12	4	18.00004	10	18.99997
GPHA2	2	0	1	1	2	0	0	2	6
GPHB5	0	0	0	0	0	0	0	0	0
GPHN	1	1	1	0	2	1	2	7	3
GPI	11014.839	7683.3324	11182.253	10051.184	8946.649	6933.355	9949.085	7785.204	9317.663
GPIHBP1	0	0	0	0	0	0	0	4	0
GPKOW	915.416	589.459	881.584	888.577	798.501	655.834	1169.82	942.26	1045.79
GPLD1	1525.84	1068.08	1653.53	1451.12	1449.8	1115.33	1517.48	1247.94	1458.57
GPM6A	1909.497	2062.30974	1973.711	1678.08457	2124.0566	1556.84079	2720.34078	2220.012	2685.14336
GPM6B	111	58	108.9999	72	109	72	154.0004	136.0005	167.0002
GPN1	1645.001	1282.996889106	1666.0016	1768.002092	1568.996126	1225.003684	2350.9986825171	1664.0015	2059.9951
GPN2	679	415	565	635	598	458	1012	788	905
GPN3	450.0001	388.0004	592.19134	517.42434	586.6163	479.26554	732.4098	522.0003	614.0001
GPNMB	235.0000124808	168.0000164243	241.000013501	192.000012139	220.0000473712	146.0000201329	185.0000103586	126.0000109429	152.0000114508
GPR1	51.31263	55.20781	56.41391	44.96513	36.37618	37.99874	32.86472	39.41779	49.58891
GPR101	0	2	0	0	0	0	2	3	0
GPR107	1578.0006	1016	1579.001	1672	1547	1173	2846.999	2112	2445.9958
GPR108	901	582	801	886	798	654	1909	1479	1712
GPR110	24.159	22.0283	32.1499	24.1255	27.8945	31.5104	20.976	10.3278	20.1264
GPR111	33.164	25.0941	25.1356	31.1576	40.2216	30.1627	24.0621	19.0831	44.2146
GPR112	190	62.3023	181	152	156	133.724	141	103.577	158
GPR113	51.58587	28.4052	49.4437	37.27576	30.19977	32.24048	89.44868	78.82163	83.54663
GPR114	0	0	0	0	0	0	0	0	0
GPR115	4	0	0	0	0	0	0	0	0
GPR116	0	3.9999969655	0.99999975239	4.9999953008	0	4.0000021184	6.9999993745	0.99999984035	1.99999689628
GPR119	0	0	0	0	0	0	0	0	0
GPR12	23.6245	15.4113	18.126	18.4588	23.5178	20.6332	12.1299	18.2276	27.1998
GPR123	0	0	0	0	0	0	0	0	0
GPR124	112	60	81	71	98.1852	52	115.079	63.0302	83.0319
GPR125	1	0	2	0	0	2	0	3	1
GPR126	2.999995698204	1.00000029675	6.99999792747	2.99999979729	1.99999716514	4.99999890447	10.00000210458	3.00000088081	4.99999969184
GPR128	0	0	0	0	0	0	0	0	0
GPR132	67.6421	55.9295	75.2758	67.618	60.3158	69.3527	81.855	57.5458	75.9553
GPR133	20	21	28	12	16	6	30	17	13
GPR135	8	12	10	16	13	6	40	29	31
GPR137	299.00039	187.9999	251.0001	327.00001	291.001	206.99999	706.99927	561	735.9998
GPR137B	143	94	152	120	166	120	287	171	205
GPR137C	82	57	96	131	123	109	196	199	184
GPR139	0	0	0	0	0	0	0	0	0
GPR141	0	0	0	0	0	0	0	0	0
GPR142	0	0	0	0	0	0	0	0	1
GPR143	4	7	8	12	5	6	10	1	14
GPR144	0	0	0	0	1	0	0	0	3
GPR146	11	14	22	9	8	6	15	24	8
GPR148	0	0	0	0	0	0	0	0	0
GPR149	0	0	0	0	0	0	1	0	0
GPR15	17	24	12	13	7	5	7	4	3
GPR150	3	4	5	4	0	0	12	2	4
GPR151	20	8	11	8	22	7	15	2	14
GPR152	13	18	10	10	7	7	6	3	4
GPR153	40	28	32	69	32	40	101	90	137
GPR155	903.91	609.664807225	1015.862878	910.47425	1117.2406	814.6086	1958.27279928	1569.489	1827.98800003462
GPR156	0.9999998	0	1.0000002	4.000004	2.0000045	0	3	3.000003	0
GPR157	3	1	0	2	3	0	9	3	0
GPR158	0	0	0	0	0	0	2	3	1
GPR158-AS1	0	0	0	0	0	0	0	0	0
GPR160	488	386	625	433	622	576	1070	853	922
GPR161	81.031018	50.32481	49.62585	59.3825000177864	59.7689	49.1236	137.8768790458	85.299263996	105.64679
GPR162	0	0	0	0	0	0	0	4	3
GPR17	0	0	0	0	0	0	0	0	0
GPR171	19	23	41	17	29	14	26	9	29
GPR173	14.3095	9.67462	29.6236	16.6068	26.2541	11.5921	17.548	8.01361	7.07264
GPR174	85	65	86	103	82	70	76	75	77
GPR176	96	58	92	111	95	69	184	143.0002	179
GPR179	16	4	20	16	18	16	80	73	72
GPR18	145.0003	82	127	168	193.9999	140	384.9995	307.9999	393
GPR180	2414	1530	2561	2298	2451	2060	3278	2689	3229
GPR182	2	1	4	7	1	4	3	0	2
GPR183	2080	1697	2490	2352	2559	2005	3387	2533	3040
GPR19	22	22	29	40	29	20	58	31	69
GPR20	0	0	0	0	0	0	0	0	0
GPR21	24	21	39	21	34	24	31	23	27
GPR22	87	41	131	109	123	86	169	112	187
GPR25	0	0	0	0	0	0	0	0	0
GPR26	8	5	4.00838	6.00792	10	3	9	3	8
GPR27	0	0	0	0	0	0	0	0	0
GPR3	9	7	0	6	5	3	7	15	6
GPR31	5	4	5	4	3	3	5	5	3
GPR32	0	3	1	0	0	1	2	0	2
GPR33	1	0	0	0	2	0	0	0	0
GPR34	13	8	14	12	8	7	12	8	12
GPR35	17.9999953417	11	14.99996	22.00002	15	8	31.9999744788	37.00001	27
GPR37	0	0	0	0	2	2	3	3	8
GPR37L1	19.0498	7.30597	16.5133	15.6204	11.1328	3.61036	12.8441	10.2216	8.46354
GPR39	0	1.99943	1.55426	3.68204	0	0	10.9587	7.79655	11.1843
GPR4	108.124	66.0807	88.1098	67.078	86.1764	54.1523	82.1838	68.0785	79.2545
GPR45	2	0	3	3	5	2	3	0	2
GPR50	0	0	0	0	0	0	0	0	0
GPR52	49	15	70	71	57	39	37	39	46
GPR55	8	7	14	10	9	4	57	29	30
GPR56	57.8749846	23.6206907	30.6084953	39.3192186	41.7215871	39.5810202	88.32889	46.5929	91.175867
GPR6	0	0	0	0	1	0	0	0	0
GPR61	13	4	1	7	13	12	0	17	6
GPR62	3	1	2	1	0	0	2	2	2
GPR63	135.5431	94.8981	119.1046	129.8347	144.9834	93.8111	378.5833	208.7508	320.449
GPR64	3.000001137378	3.999996434214	9.000002574549	7.000004153422	3	4.000003020076	3.999999412176	4.000001620248	3.999996530982
GPR65	290.963	247.612	307.832	310.24	371.038	232.607	317.11	232.757	300.101
GPR68	68	37.99996	67	37	51	40	43	31	40.99999
GPR75	189.62	110.427	164.561	143.551	141.892	103.654	132.695	92.5395	185
GPR75-ASB3	220.93	64.6508	116.431	204.708	159.39	192.905	375.108	133.634	315.201
GPR78	58.2653	52.3158	73.0955	55.9673	67.8741	41.6521	44.3842	25.9027	38.3839
GPR82	165.595	143.868	176.202	111.551	138.143	111.174	141.897	111.565	132.93
GPR83	66.4741	58.735	62.2668	52.2804	86.183	78.9621	78.522	52.8329	87.3208
GPR84	0	0	0	0	0	0	0	0	0
GPR85	98.6789	217.5878	98.329	83.6103	85.2288	64.5427	68.6358	65.6224	75.9906
GPR87	10	3	7	14	6	7	17	7	2
GPR88	0	0	0	0	0	0	0	0	0
GPR89A	925.412	662.3554	949.7126	929.1303	1027.9298	800.2219	1358.499	1039.1047	1231.0551
GPR89B	409.18	288.023	386.576	535.26	493.877	316.69	863.163	587.225	801.09
GPR89C	58.4074	44.6214	156.7118	29.6096	65.1932	53.0884	88.337	47.6714	94.8552
GPR97	0	0	0	0	0	0	2	0	0
GPR98	1.9999986	1.9999974	8.0000044	0	5.9999962	1.9999988	6.0000019	0.99999975	0
GPRASP1	96.000018913312	58.0000185904	111.999799856201	103.000000340519	107.88968343	70.00002133903	109.0000634992	67.999957197	112.000001796094
GPRASP2	11.68604	0	6.69025	0	7.0034291222	0	13.1167	8.45843	0
GPRC5A	20.0526	14.2727	19.0885	24.1207	13.0125	12.0641	16.1055	8.07785	17.0336
GPRC5B	0	1	0	3	1	0	21	27	21
GPRC5C	0	0	0	0	0	0	0	0	0
GPRC5D	0	0	0	0	0	0	0	0	1
GPRC6A	0	0	0	0	0	1	0	0	0
GPRIN1	648	459	568	722	638	529	1051	799	871
GPRIN2	0	0	0	0	0	0	3	0	0
GPRIN3	0	1	0	0	0	0	2	3	1
GPS1	2624.998	1553	2222.997	2607.995	2386.005	1729.997	3325	2807.997	3035.003
GPS2	1494	835	1530	1554	1392	1254	2494	1917	2192
GPSM1	22.00003	20	12	29	24	14.00000879122	26.00001	10	24
GPSM2	1603.66	1191.22	1867.25	1596.97	1592.32	1391.73	1368.79	1085.52	1222.6
GPSM3	298	198.99964	259.9997	304.9995	264.0001	190.6835	384.9999	296	388.99963
GPT	59	44	41	60	39	40.0403	56	52	50
GPT2	2545.003	1671.004	2262.995	3202.003	3024.998	2096.965	8717	6633	7376
GPX1	1532.9964	1149.99715	1339.0006	1592.9975	1436.0027	1102.999	2790.0047	2110.0041	2319.0032
