OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
ABHD1	67	40	71	75	54	49	65	50	74
ABHD10	915.0002	663.99962	1007	865.00012	974.0003	761.0004	1238.0017	1011.9999	1028.00032
ABHD11	605.7053	435.7003	543.1133	563.5229	558.9094	394.1041	642.5948	473.6578	494.377
ABHD12	743	477.0004	673.0001	678.0003	681.9999	496.9996	1080.9995	864.0002	892.9998
ABHD12B	530.9996	375.9997	496.9998	527	484.9999	378.9995	553.0003	417	499.9999
ABHD13	507	347	547	484	655	450	762	620	799
ABHD14A	236.774	163	216	203	200.712	160	374.274	341.783	409.891
ABHD14A-ACY1	67.1665	0	0	0	48.0781	0	47.7564	27.893	28.3322
ABHD14B	1146.999	810	1037	1173.999	971.001	760	1574	1274	1420.999
ABHD15	203.853	138.966	182.982	203.367	196.995	154.313	380.466	324.292	329.917
ABHD16A	783.0005087	421.00048	642.99934	750.9997	705.0003	544.0001	1269.0006	1035.0003	1219.0005
ABHD16B	148	106	146	131	129	105	127	143	133
ABHD2	1664.677	1125.489	1621.425	1611.177	1590.584	1166.6773	1971.04	1588.902	1836.129
ABHD3	2047	1367	1940	2150	2215	1695	4327	3127	3815
ABHD4	132	80	107	148	142	110	331	327	340
ABHD5	355.061	215	368.032	303.356	329	270	307.022	233	351.054
ABHD6	242	193	212	219	228	180	326	266	295
ABHD8	299	201	262	302	292	216	429	347	353
ABI1	3905.2001	2452.7678235343	3833.1152	3690.6949689863	3849.18138	3093.1462	5659.2892481338	4396.836	5215.3189
ABI2	1810.79	1283.81	1886.14	1817.78	1864.2	1368.59	2217.82	1790.78	2318.65
ABI3	623.73614	434.7857	548.2527	574.5673	425.362	383.5891	254.338	228	257.806
ABI3BP	12	4	8	5	8	12	11	3	11
ABL1	1097.0005	710.9996	1002.0004	1098.005	903.9996	766	1585.9982	1378	1512.0018
ABL2	1627.95719	1077.0331	1542.6354	1475.4016	1416.5053	1098.536855	1789.88005	1587.2031188552	1728.8618
ABLIM1	4245.8272	3161.76939	4672.5996	4617.4984	4353.6018	3363.0103	7303.5869	5339.1655	6475.7788
ABLIM2	217	143	217.0000609072	235.0001	220.0001	162.9999	508.9997	354.9999	380.0004
ABLIM3	0	0	0	0	0	0	3	0	0
ABO	0	0	0	0	0	0	1	0	0
ABP1	0	0	1	0	0	0	2	1	1
ABR	3039.0018	1915.9958	2963.0003	3016.9955	2481.9982	2126.0007	3027.002	2509.00002	2767.9978
ABRA	28.1104	14.25	11.7553	22.1278	25.7542	14.9756	19.9751	34.0249	21.4294
ABRACL	984	909	1142	1067	1154	858	1201	932	1003
ABT1	1397	895	1420	1392	1340	1113	1620	1224	1482
ABTB1	47	10	20	37	25	15	84.99997	47	60
ABTB2	79	29	89	66	68	50	141	96	131
ACAA1	556	413.9998	522.9998	542.9996	480.0004	336.0001	468.0007	371	504.0008
ACAA2	2827	1995	2674	2651	2497	1973	3276	2471	2820
ACACA	4458.6232	3095.8467	4184.2017	4359.791	3761.135	3106.852	4827.6239	3628.0763	4386.747
ACACB	335.281	247.496	353.403	358.606	294.213	254.618	661.194	495.129	733.756
ACAD10	318	193.9995	310	337	304	229.0002	490.0004	355	409
ACAD11	600.716	438.619	635.668	664.458	640.121	392.435	1608.74	1196.73	1290.86
ACAD8	322	197	241	318	258	181	441	314	345
ACAD9	2006	1360	2024.005	1839.997	1782.004	1382	1633	1303	1483
ACADL	2	0	2	1	1	2	6	1	3
ACADM	6464.9988	4972.002	7101.001	6439.999	6677.999	5667.9962	7649.9972	5873	6726.0019
ACADS	468	313	402	453	458	278	607	569	619
