TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
DNER	1	0	2	0	1	0	1	3	0
DNHD1	926.9996	1101	1096.9958	781.0002	941	1412.003	1202	979.9996	776.0001
DNLZ	135.9996	179.9996	211.9997	153.0003	129.99994	200.9996	108	93.00004	85
DNM1	7.99999650094	12.0000454922	11.9999978107	10.0000008485	6	12.9999640126	13.0000481313	6.000001076	12.0000465617
DNM1L	2365.07	2504.564	2727.795	1649.264	1648.621	2317.049	1659.771	1372.205	1017.331
DNM1P35	51.02	90.2135	102.548	83.7332	92.6375	162.725	91.8203	84.36	61.4663
DNM1P41	314.794	365.007	393.661	247.293	272.867	343.903	294.099	250.176	164.993
DNM1P46	220.973	294.471	253.39	324.585	379.315	677.102	546.813	509.565	338.232
DNM2	2748.997	2803.001	3188.005	2028.9996	2147.9993	2995.002	2336.0002	2130.9992	1539.00022
DNM3	41.99997	43	60	38	38.00001	81	62	41	38.99997
DNM3OS	6	15	8	2	12	12	5	6	4
DNMBP	654.91	627.808	732.333	551.459	577.8	882.074	760.73	713.459	539.712
DNMBP-AS1	110.685	137.502	174.434	117.138	122.992	192.341	150.837	154.27	67.0521
DNMT1	5598	5915	6647	4023.46	4273.87	5962.4	4115	3535.807	2675.269
DNMT3A	1034.00000008169	1229	1381.000491191	980.9999042	1005.99991	1469.0000994057	993.99959	929.0002	670.000000673093
DNMT3B	176	151.9999	212	101	95.00001	132.9995	84.000005228	70.99999	71.99999
DNMT3L	1	1	3.000002	2.000003	4	7	8	10	4
DNPEP	1012.49	1137.19	1288.59	836.08	800.041	1107.47	762.648	618.75	489.686
DNPH1	164.9997	320	308.0003	220.9999	251.9996	393.9998	228.0001	167.9998	140
DNTT	0	0	0	0	0	0	0	0	0
DNTTIP1	288	330	431	267	251	367	230	190	146
DNTTIP2	1719	1748	1950	1031	1066	1421	883	796	556
DOC2A	11.783	15.8831	15.0038	4.20265	8.40752	4.18366	8.24262	3.10999	6.34503
DOC2B	17	27	18	22	17	32	17	17	15
DOC2GP	7	11	9	6	5	11	15	10	9
DOCK1	0	0	0	0	0	3	1	0	1
DOCK10	1497	1526	1730	1368	1550	2124	1851	1613	1251
DOCK11	1151	1087	1238	1003	998	1328	1097	892	705
DOCK2	4341	4575	5039	3653	3699	5261	4127	3544	2512
DOCK3	59	81	71	68	83	123	101	107	59
DOCK4	70	88	80	49	45	76	63	64	67
DOCK5	1	0	0	0	1	0	1	0	1
DOCK6	236	246	291	204	251	362	313	274	204
DOCK7	653.99992	694.000366849	692.000400097994	488	553.00011	729.999900011483	546.0004	425.999700017612	330
DOCK8	3727.0029	3557.942	4076.712	3316.979	3883.6803	5109.53	4331.813	3788.441	2997.251
DOCK9	408.99973	446.9999	500.9998	352.9998	349.99996	503.0004	439.9995	464.9998	322.00017285
DOHH	268.0001	327	416.9998	242.9998	254.0004	337.0004	225.0003	193.9995	171.0004
DOK1	774	987	1094	836	834	1208	778	669	477
DOK2	0	0	0	3	1	0	1	1	0
DOK3	953	1076	1307	1063	1181.001	1677	954	837	597.9993
DOK4	30	36	36	26	23	40	36	32	19
DOK5	0	1	0	0	0	0	1	0	0
DOK6	70.0314	89.0442	79.1057	65.1427	66.0465	124.083	76.0705	76.0535	56.0576
DOK7	3	1	1	1	2	3	4	1.99999992	6
DOLK	263	321	370	227	265	304	250	237	142
DOLPP1	269.00022	310.9998	336.9997	195.00008	214.99983	285.99959	226.99995	187.99975	151.9998
DOM3Z	157.682	206.57	228.711	168.607	185.211	284.423	221.627	174.715	152.108
DONSON	538.281	540.903	622.607	509.551	476.368	704.579	643.591	573.121	373.191
DOPEY1	1412.0276	1385.826	1634.821	1055.844	1074.2203	1454.2563	1124.3923	1055.7621	715.0037
DOPEY2	564.706	674.993	731.447	541.873	516.521	837.115	803.128	735.218	528.826
DOT1L	2388	3007	3277	1927	1955	2823	2118	1931	1421
DPAGT1	334	339	415	243	196	243	173	159	120
DPCD	132	141	151	98	108	147	127	118	80
DPCR1	5	5	3	5	3	9	6	3	6
DPEP1	0	0	0	0	2	2	1	2	0
DPEP2	6.19042	7.46005	4.27591	14.6154	18.221	27.4384	31.0629	16.6142	25.0397
DPEP3	0	0	0	0	0	0	0	2.000002	0
DPF1	150.0002	157	204.0002	125.0001	146	215.9995	139	125	91
DPF2	1151	1208	1462	982	1109	1397	996	870	653
DPF3	15	16	18	4	12	16	25	19	15
DPH1	556.261	532.559	528.642	473.04	490.048	677.706	566.043	441.641	333.244
DPH2	1136.997	1257.9957	1451.0033	851.9997	774.0003	1056.9988	600.0003	555.0001	471.0001
DPH3	615	620	740	464	460.0004	571.9998	409	367	274.0005
DPH3P1	60.0848	61.6797	84.7076	61.6219	82.5921	100	84.755	96.2167	70.7095
DPH5	568	646.9997	686.0001	466.0005	469	612.9995	461.9993	357.0002	276
DPM1	600	578	648	442	402	522	373	381	268
DPM2	230	283	328	225	243	335	237	222	133
DPM3	59.99999	79	93	68	73	85	63	48	35.99999
DPP10	0	0	0	0	0	0	0	0	0
DPP3	989	1135	1339.0006	853	891	1162.0001	832.9997	745.0006	552
DPP4	13	23	26	8	3	11	10	8	6
DPP6	6.09997	8.1578700246703	5.0316800502782	10.1420000219499	8.1499000259376	11.166000050465	7.1168100206181	8.1455700400364	3.04703
DPP7	1068	1483	1760	1391	1503	2054	1589	1459	1026
DPP8	1190	1289.999	1413.9993	887	883.9998	1237.0002	897	852.001	555.9996
DPP9	1666.04	1864.58	2030.25	1304.95	1330.56	1852.65	1354.72	1189.38	869.068
DPPA2	5	4.05122	6	4	5	6	7	6.16502	3.05646
DPPA2P3	1	4	1	1	2	3	0	1	2
DPPA3	8	10	8	9	8	11	16	11	10
DPPA4	15.4251	30.0634	50.5795	26.9083	23.8958	46.824	19.0728	19.5506	15.4
DPPA5	0	0	0	0	0	0	0	1	0
DPRX	0	0	0	0	0	0	0	0	0
DPRXP4	10	9	9	8	7	12	6	9	5
DPT	0	0	0	0	1	0	0	2	1
DPY19L1	586.62	560.571	629.386	408.528	475.14	580.522	573.31	498.791	351.593
DPY19L1P1	133.138	188.025	191.623	145.459	152.463	210.799	132.107	124.341	89.1589
DPY19L2	4.62236	5.84252	3.03929	3.02978	5.03085	6.74105	9.1199	4.78262	4.04441
DPY19L2P1	2.46861	1.26683	1.01936	0	1.00909	2.38579	4.06281	1.30592	0
DPY19L2P2	739.124	896.375	929.909	800.357	921.924	1362.922	1113.138	977.888	713.087
DPY19L2P3	5	3	9	8.94862	3.34869	3.39285	7.56435	3.56653	5.64535
DPY19L2P4	23.0607	11	17	14	15	16.0237	8	6	8
DPY19L3	1247	1316	1462	1006	1043	1292	1015	897	648
DPY19L4	464.039	489.037	524.727	469.397	470.047	653.058	596.924	504.999	383.584
DPY30	286	284	325	193	194	263	183	177	120
DPYD	7.26456	11.3488	15.3969	6.16	9.13192	19.4648	9.28357	7.12722	5.06312
DPYD-AS1	0	0	0	0	0	0	0	0	0
DPYS	0	0	0	0	0	0	0	0	0
DPYSL2	2619.857	2690.6417	2922.4849	1755.7971	1881.8044	2540.5597	2324.827	2148.0004	1542.004
DPYSL3	0	0	0	0	0	0	0	1	1
DPYSL4	18	27	34	42	39	62	50	55	35
DPYSL5	39.504400108035	81.6019018593	71.10090453957	54.912900934238	45.88380109096	74.72440240296	69.41141	51.36420177823	35.01462623092
DQX1	117	154	166	151	152	214	178	150	121
DR1	2191	2358	2498	1568	1679	2204	1629	1490	1047
DRAM1	339.762	435.961	524.059	462.605	463.207	662.052	561.981	460.894	365.01
DRAM2	384	382	426	364	405	478	389	360	270
DRAP1	390	521	591	344	400	652	361	325	216
DRAXIN	1	0	3	21	28	53	73	49	32
DRD1	0	0	0	0	0	0	0	0	0
DRD2	0	0	0	0	0	0	0	0	0
DRD3	0	0	0	0	0	0	0	1	0
DRD4	14	16	19	16	12	41	46	39	22
DRD5	0	0	0	0	0	1	0	0	0
DRG1	1125	1168	1315	803	804	1058	766	661	478
DRG2	698	769	841	503	529	673	458	393	281
DRGX	0	0	0	0	0	0	0	0	0
DROSHA	2099	2032.999	2280	1528	1564	2404	1735.003	1640	1124
DRP2	8	8	9	7	4	16	5	4	6
DSC1	0	2.2087082676	16.421477284	3.7967357456	12.777209	12.632032887	9.9555503012	6.1417678987	8.5199016334
DSC2	0	0	0	0	0	0	0	0	0.9999995725
DSC3	9.88203723	21.8423854	20.869077	20.4732631	16.2501622	26.7475448	26.4243283	14.9510639	12.3106735
DSCAM	0	3	1	1	1	5	6	2	0
DSCAM-AS1	26.49168	36.03342	35.96024	33.07854	27.20186	41.46426	38.51915492	23.07888	22.29994
DSCAM-IT1	0	0	0	0	0	0	0	0	0
DSCAML1	51	61	60	50	78	73	47	60	42
DSCC1	394	436	480	318	321	442	352	308	212
DSCR10	0	0	0	0	0	0	0	0	0
DSCR3	1058.84	1189.6	1364.96	855.618	962.056	1245.05	992.023	810.536	665.829
DSCR4	0	0	0	0	0	0	0	0	0
DSCR6	68.5687	109.656	118.392	72.3778	99.4747	122.381	108.411	80.8216	76.3203
DSCR8	4	4	3	7	5	14	7	3	2
DSCR9	11	25	11	13	23	27	17	16	17
DSE	311.0003	320.0003	389	221	229.9998	334.9996	259.9998	256.9997	186
DSEL	44.0177	86.1474	103.152	64.7172	58.8375	108.247	58.8865	65.6263	48.1
DSG1	0	0	0	0	0	0	1	0	0
DSG2	39.9541	61.8196	74.2575	48.9135	58.4512	102.436	64.9033	47.8745	39.7277
DSG3	9.46614	16.52	13.6414	8.41606	16.0399	15.7369	16.6944	7.32217	10.6314
DSG4	0	0	0	0	0	0	0	0	0
DSN1	374.2372	431.19885	481.4417	337.9061	400.5853	505.37777	422.7781	407.1094	261.9677177863
DSP	9	7	6.000001	4	8	14.00002	17.99996	16.99997	16.99995
DSPP	0	0	0	0	0	0	1	0	0
DST	3395.002	3542	3853.999	3607.001	3841.997	6151.003	5163.003	4610.004	3333.997
DSTN	736.9995	804.9396	904.0003	578.9416	592.9292	810.9194	644.9997	662.9206	468.9995
DSTNP2	46.5584	77.9715	76.2409	59.0847	48.2202	80.5916	53.3484	37.0776	38.1461
DSTYK	386.412	446.102	505.326	337.535000014358	377.646	551.667	454.9827	361.863	284.0053
DTD1	425	493	501	245	263	328	194	180	118
DTD2	1164.3	1266.65	1504.24	858.427	859.45	1148.85	760.036	679.847	522.952
DTHD1	5	5	3	3	1	9	6	5	2
DTL	1802	1841	2137	1358	1478	1901	1612	1427	1016
DTNA	1	0	1	1	0	0	1	2.000000449433	1
DTNB	259.00005	262.9999204	272.000279944654	202.00006465	231.99983	300.00073	218.99998	192.000050040642	132.99992537
DTNBP1	307.0001	383.00035	383.99956131	346.0003	324.00016	465.00031	399.9997	349.9999	262.0004
DTWD1	157.9997	145	162.9996	119	158.9997	194.9997	168.9996	160	116
DTWD2	240.117	268.388	299.379	247.143	239.625	340.009	232.015	230.306	148.992
DTX1	4982	5884	6792	4715	5061	6757	5225	4588	3369
DTX2	374.6605	438.8692	510.9624	389.0821	424.02993	596.6149	553.1038	457.5298	349.7242
DTX2P1-UPK3BP1-PMS2P11	77.0652	57.0974	60.1496	76.1523	73.5481	147.619	132.837	108.065	93.4453
DTX3	428	485	560	563	555	833	596	512	416
DTX3L	3837.47	4083.11	4708.79	3743.61	4163.95	5293.82	3433.59	2878.9	2161.14
DTX4	1192.07	1353	1499	1105.07	1232	1705	1406	1305	930
DTYMK	1581.0011	1731.001	1825.9964	1040.0003	1042	1286.001	918.0002	799.9998	616.9996
DUOX1	32.9739	44	40	44	45.8541	94	68.8341	55	36.99999
DUOX2	1.02609	1	0	2	4.14596	4	7.16589	6	3
DUOXA1	1	2.00358	0	2.0030300608164	1	5.00487	3.00472	5.00286	4.000897
DUOXA2	1	0	0	0	0	0	1	1	0
DUPD1	0	2	0	1	1	1	1	1	1
DUS1L	1707	1970	2243	1345	1335	1854	1139	1037	739
DUS2L	235.6851	167.97889	255.3789	147.17	161.355	262.8801	180.0375	149.657	106.712
DUS3L	1022.0033	1218.0042	1327.0032	849	934.00026	1314.0014	888.9996	753.00049	585.0001
DUS4L	217.3763	206.65250203986	221.1325554086	150.38743	137.5329	178.5034383455	147.2585	96.6679	86.5966
DUSP1	64	69	88	155	182	315	459	360	248
DUSP10	69.99998	70.00005	91.00004	60.00002	96.00005	88.99998	103.00001	86	49.99998
DUSP11	425	414	493	409	347	449	343	334	225
DUSP12	292	306	330	221	206	299	207	191	167
DUSP13	1	1	4	1	2	1	3	0	3
DUSP14	176	168	189	124	163	205	200	158	93
DUSP15	189.0003	215.0002	215.9995	151.0004	175.0003	252.0001	174.99972	136.99981	112
DUSP16	403	431	464	345	382	524	370	274	233
DUSP18	151.527	152.453	139.619	129.231	145.958	239.072	163.961	174.837	107.62
DUSP19	72.3556	135.3503	156.50200779084	145.791	146.2488	239.8559	212.4026	164.5093	127.517708769
DUSP2	2148	2570	2993	2111	2073	2611	1923	1642	1119
DUSP21	0	0	1	0	0	0	0	0	0
DUSP22	1327	1411	1548	1227	1319	1898	1456	1337	1013
DUSP23	0	0	0	0	0	0	0	0	0
DUSP26	0	0	0	1	1	1	1	1	1
DUSP27	0	0	0	0	0	2	0	0	0
DUSP28	177	196	241	188	214	303	246	218	165
DUSP3	904	914	1078	649	621	899	518	433	350
DUSP4	80.00004	124.6764	119.9996	148.8662	154.8435	242.0005	186.82578	131.99968	124.8039
DUSP5	2128	2324	2628	2139	2268	3060	2546	2362	1706
DUSP5P1	217.63	259.17	275.122	154.916	158.35	261.808	199.689	192.991	120.093
DUSP6	1	0	2	3	2	3	6.00000468	8	4
DUSP7	353	394	379	247	247	378	235	202	156
DUSP8	7	8	5	11	16	29	44	35	41
DUSP9	37	47	42	28	29	52	46	57	43
DUT	1788.0022	2187.0043	2235.9974	1229.9998	1257.9996	1518.0006	1378.0005	1251.9997	792.9998
DUX2	18.99999	7.68483	36	34.00002	17.15225	63.999905242122	87.3201	80.8059	66.6043251067
DUX4	0	0	0	0	18.84774	0	0	8.44708	0
DUX4L2	0	3.8091	0	0	0	0	9.17002	5.43679	5.09892
DUX4L3	0	5.0788	0	0	0	0	9.17002	5.43679	5.09892
DUX4L4	0	1.2697	0	0	0	0	0	0	0
DUX4L5	0	5.0788	0	0	0	0	9.17002	5.43679	5.09892
DUX4L6	0	5.0788	0	0	0	0	9.17002	5.43679	5.09892
DUX4L7	0	0	0	0	0	0	0	0	0
DUXA	156.312	184.217	213.323	123.377	133.733	195.243	159.072	113.796	108.725
DVL1	478	569	643	550	610	835	704	611	440
DVL2	844	1026	1168	827	948	1297	1067	929	730
DVL3	1276.5	1545.49	1745.31	1404.27	1444.13	2127.22	1592.41	1435.75	1047.55
DYDC1	2.8885	4.10765	9.24535	5.41041	8.55194	11.6724	5.83156	10.6777	12.2874
DYDC2	47.77418041	64.9999721	63.9838788	40.99996975	46.81874618	69.0000328	50.00002267	47.000020105387	45.80070476
DYM	1223	1295	1472	1103	1162	1552	1343	1161	818
DYNAP	110.16	114.272	125.307	113.65	108.471	178.386	131.201	90.5799	83.5045
DYNC1H1	13348	14403	15168	11052	11794	16835	13012	11347	8183
DYNC1I1	1	0	0	0	0	0	0	0	0
DYNC1I2	1133.0008	1201.00028	1332.9999	854.00006	834.00036	1207.00022	898.000021	787.00035	599.00028
DYNC1LI1	980	1038	1137	609	661	851	573	505	363
DYNC1LI2	1047	1136	1284	833	844	1242	1021	930	623
DYNC2H1	46.99996	50	44	47	51.00003	77	62	45.99998	52.99999
DYNC2LI1	141	141	142.9999	155.00001	158	172.9998	173.99999	153.0001	90.99995
DYNLL1	2379.9991	2158.9978	2508.0042	1398.0019	1395.0006	1827.0027	1250.9999	1027.9995	779.9994
DYNLL2	675	807	802	647	613	886	633	562	389
DYNLRB1	531	549	565	379	398	663	382	384	295
DYNLRB2	0	0	0	1	2	0	2	0	0
DYNLT1	152	156	169	101	100	132	110	88	65
DYNLT3	85	90	100	94	104	120	99	82	69
DYRK1A	2544.002	2543.004	2930.9954	2093	2154	2932.0062	2288.0039	2123.9996	1547
DYRK1B	216	252.0004	265.9997	222.0003	282.0004	433.9999	414.0002	335.9999	295.0004
DYRK2	1441	1503.001	1791.004	1092	1123.0006	1551.997	1091	902	664
DYRK3	101	128.0001	124.0002	95	93	130	96	87.00001	59
DYRK4	199	188	218	145	132	179	125	134	110
DYSF	0	0	0	0	0	3.000001301115	1.0000001407003	2.999995048248	0
DYTN	0	0	0	0	0	0	0	0	0
DYX1C1	25.27089	23.60525	27.9315	17.73212	24.52349	33.61196	31.6338	33.35216	9.78497
DYX1C1-CCPG1	28.3976	0.00647016	0	0	0	0	0	0	7.04804e-06
DZANK1	103.693	172.718	172.791	115.808	136.894	219.185	139.938	116.891	106.024
DZIP1	22.50421894	45.0876508	49.7199855	44.3186962	30.6745	56.9535151	51.6092522	44.8726259	22.51481062
DZIP1L	5	2	4	4	6	9	7	5	12.0000481
DZIP3	767.096	794.26	879.416	646.208	655.49	945.565	680.814	602.55	439.012
E2F1	894	1097	1293	946	1004	1312	954	876	592
E2F2	539.674	643	745.246	537.064	604.86	848.648	620.872	497.899	387.089
E2F3	1179	1260	1392.001	999	980	1412.997	1103	992	712
E2F4	1518	1742	1868.17	1143	1111	1534	1046.1	888.133	646
E2F5	410.2134	402.2408	504.9208	316.1615	340.7587	460.6934	367.3137	360.6301	236.4204
E2F6	325.99963	456.0008	453	295.0003	317.0006	448.9995217472	260.9999	225.99998	196.9999
E2F7	699	629	801	597	675	1136	1088	1043	765
E2F8	994.635	1034.4436	1121.3059	717.526	795.619	1033.29	890.222	747.3703	543.88
E4F1	623	723	838	486	529	727	546	487	357
EAF1	1512.89	1550.51	1706.06	1144.3	1270.85	1553.29	1196.1	1106.39	757.206
EAF2	418	391	492	353	375	527	412	376	318
EAPP	464	466	548	358	335	516	351	359	222
EARS2	800	880	970.9997	526.9998	558	773	607	492	331.9997
EBAG9	325.9996	325.0001	347.9996	211	240.0003	309.9997	202	165.0001	153.0001
EBF1	3092.98	3077.95	3470	2763	2959	3859	3186	2763.96	2077
EBF2	0	0	0	0	0	0	0	0	1
EBF3	0	0	0	0	0	0	0	0	0
EBF4	21	24	43	33	43	67	54	69	45
EBI3	406	501	545	327	311	439	280	210	194
EBLN1	0	2	1	1	0	0	0	0	0
EBLN2	76	74	86	55	63	69	52	33	33
EBNA1BP2	1865.0035	2116.99673	2243.0016	1185.00171	1157	1644	853.00032	746.00033	605.00036
EBP	996	1095	1204	627	695	921	691	564	470
EBPL	316	384	413	232	219	273	164	151	116
ECD	784.0004	723	868.99981	536.99955	635.0002	862.0002	710.99963	625.99985	446.00023
ECE1	4800.211	5632.164	6281.033	4054.025	4213.442	5581.461	3983.304	3533.9406	2616.9739
ECE2	237	288	291	189	192	279	170.00043	161.99994435216	115.0004068
ECEL1	0	1	2	5	4	8	8	11	5
ECEL1P2	0	1	0	0	2	0	0	0	2
ECH1	906	971	1096	739	822	1127	810	720	463
ECHDC1	317.00041317	326.9999	430.9996	247.00033	285.9998	356.0001010584	264	194.0004	163.999700831391
ECHDC2	26	29.00002	41	19.00004	13	26.00002	13	15	7
ECHDC3	9	10	7	8	10	13	10	9	7
ECHS1	1260	1212	1483	894	879	1095	878	771	525
ECI1	450.00035	544.0001	556.9996	468.9997	455.0003	645.99974	538.9996	511.0003	333.9999
ECI2	440.0004	476	519.00025	273.9999	283.99978	378.0008	263.99984	238.99996	175
ECM1	16.000003	23.00002	32.000069	22.99998	23.00001	30.99997	23.00004	17.99997	13.99997
ECM2	48	45	46	59	41	79	56	53.0000000142413	30
ECRP	0	0	0	0	0	0	0	0	0
ECSCR	0	0	0	0	0	0	0	0	0
ECSIT	496.9997	538.9997	598	373.0003	385.00016	541.9996	391.99972	315.99989	250.99973
ECT2	1639.395	1763.3	1995.579	900.7357	967.7011	1208.6863	666.2917	617.083	424.5153
ECT2L	30.2271	26.9959	33.5485	18.377	15.3103	33.8945	16.1696	15.1412	12.0447
EDA	0	0	0	0	0.9999995	0	0	0.9999998	0
EDA2R	6.00248288577	6.9999960601	9.0045835853	3.00086781681	9.0024637561	4.9999983661	19.0061	12	15
EDAR	4	7	6	0	3	7	3	0	3
EDARADD	1.00061	1.00052	1.00035	3.0004	1.00042	1.00074	1.00051	1.00025	0
EDC3	1242	1445	1575	1139.9998	1183.0008	1616	1047.001	928.9995	685.0003
EDC4	2265	2442	2693	1728	1793	2473	1911	1746	1237
EDDM3A	0	0	0	0	0	2	0	1	0
EDDM3B	1	1	0	0	3	3	2	0	1
EDEM1	1616.65	1879.29	2104.57	2763.34	3180.94	4321.64	3909.92	3414.58	2479.98
EDEM2	197.9999	272.9997	272.99972	269.9999	266.9995	440.99921	334.00044	272.0004	208.0003
EDEM3	1051	1085	1177	867	834	1219	836	792	570
EDF1	1143.9994	1427.9956	1607.0047	1052	1135.0035	1606.003	982.9995	842.9998	655.0001
EDIL3	0	0	0	0	0	0	0	0	0
EDN1	28	27	22	34.99999	22	47	34	27	20
EDN2	0	0	1	2	4	8	9	8	5
EDN3	0	0	0	0	1.0000000182193	0	0	0	0
EDNRA	0	0	0	0	0	0	0	0	0
EDNRB	29	33	38	40	42	64	66	57	32
EEA1	1242	1318	1483	914	1040	1372	951	862	604
EED	644.9996	690.9998	764	449	502.9998	643.0005	502.0001	431.0004	336.0005
EEF1A1	220348	224876	251466	198208	205332	261881	212482	192543	136156
EEF1A2	0	0	0	0	0	0	0	1	0
EEF1B2	11448	11978.99	13236.97	9279	9570.994	12046.016	9364.003	8341.002	6044.996
EEF1D	2629.1873	3201.3377	3456.3198	2258.5007	2338.2551	3250.3507	2394.7712	2019.8258	1537.1731
EEF1DP3	7	9.23238	20.095	13.2583	20.339	27.4728	13.2121	15.2162	13.188
EEF1E1	568.9996	623.0001	644.0002	347.9996	330.9996	462	278.0004	252.9998	193.9996
EEF1E1-MUTED	0	0	0	0	0	0	0	0	0
EEF1G	30528	34291	39153	28103	28855	39648	30119	27023	19763
EEF2	32003	34088	38969	30233	32096	42409	34106	30273	23098
EEF2K	2563.35	3082.34	3460.57	2196.47	2231.79	3301.84	2469.95	2179.26	1592.19
EEFSEC	718	678	802	457	478	654	421	429	264
EEPD1	417	410	476	687	779	1216	1141	1041	777
EFCAB1	7	19	17	12	13	18	13	18	11
EFCAB10	9.2058	12.6256	14.326	7.29308	15.9571	11.4913	8.16743	11.0871	7
EFCAB11	45	44	50	37	44	53	35	47	30
EFCAB12	6	10	7	3	8	21	12	13	10
EFCAB13	98	129	128	120	165	195.9998	168	145.9997	82
EFCAB14	2313	2415	2678	1866	1821	2518	1695	1608	1146
EFCAB14-AS1	13	9	10	4.9999976	11	10	5	7	6
EFCAB2	140.7170331	215.409348	244.530100012137	178.13076784	193.78802	318.655	233.3728	198.5794	145.50757526
EFCAB3	49	47	51	23	25	50	26	22	19
EFCAB4A	73	103	93	94	117	173	202	161	112
EFCAB4B	449.0005	542.0001	592.9996	401.0001	429.9998	665.0002	455.0001	397.0002	296
EFCAB5	92.2411	139.108	150.064	122.099	114.50681	185.31601	137.46352	91.6281	73.0877
EFCAB6	4	2	1	2	5	1	0	0	0
EFCAB6-AS1	0	0	0	1	0	2	0	1	0
EFCAB7	149	143	155	144	140	213	207	164	102
EFCAB9	2	4	0	0	3	1	1	0	1
EFCC1	0	0	0	0	0	0	3	0	2
EFEMP1	0	0	0	0	0	0	0	0	0
EFEMP2	34	61	47	31	43	63.00003	58	53	27
EFHA1	629	637	742	446	476	631	434	439	282
EFHA2	0	0	0	0	0	0	0	0	0
EFHB	2	0	1	0	0	0	2	2	4
EFHC1	421.5573	500.638900848426	583.995	454.2941	486.9514	759.8476	754.8404	598.6344	449.1414
EFHC2	0	0	0	0	1	0	1	1	1
EFHD1	0	0	0	0	0	0	1	0	0
EFHD2	1143	1477	1792	852	875	1118	682	653	455
EFNA1	16	23	27	16	19	22	21	17	12
EFNA2	8.11059	29.4222	15.1581	15.2353	11.1902	13.1315	29.4888	41.4382	18.1607
EFNA3	53	77	82	47	50	80	42	38	36
EFNA4	117	165.8605	183.6952	102.36609	120.6583	160.8667	96.5797	101.133	56.88769
EFNA5	3.01568	14.1996	5.02389	2.0256	2.01515	14.0698	9.04422	7.03914	2.01289
EFNB1	141.035	173.097	184.078	155.09	164.095	248.086	260.154	213.056	168.062
EFNB2	1	2	2	2	3	6	4	1	2
EFNB3	0	0	2	1	0	2	3	2	1
EFR3A	1494	1390	1655	1208	1154	1527	1257	1153	801
EFR3B	49.4139	66.0364	74.2533	53.8202	68.3476	110.127	94.279	73.9491	68.4634
EFS	0	0	0	0	0	1	0	0	2
EFTUD1	693.9997	698.0005	772.9997	481	492.0001	660.9998	554.0004	447.897	325.9999
EFTUD1P1	0	0	0	0	0	0	0	1.103	0
EFTUD2	3878.001	3840.9966	4433.978	2552.999	2540.999	3200.9998	2208.999	1932.0022	1403.0007
EGF	22.81633	31.761	41.8793	25.43556	28.98	39.1804	44.5139	27.8369	18.63002
EGFEM1P	4.83409	10.7037	8.39526	10.2991	16.0469	38.6971	24.3166	19.2314	20.8865
EGFL6	0	0	0	0	0	0	0	0	0
EGFL7	13	8	11	10	13	17	27.99997	29.00004	15.00001
EGFL8	11.4857	9.88017	13.22544	10.8092	10.3293	31.3742000169229	11.3642	17	0
EGFLAM	7	9	12	4	4	10	9	6	2
EGFLAM-AS4	6.64076	7.94135	11.3928	10.9948	8.58101	16.3005	6.72127	16.1234	11.7292
EGFR	0	0	0	0	0	0	0	1	0
EGFR-AS1	34	38	29	25	24	43	33	28	16
EGLN1	1204.09	1357.97	1390.86	978.675	967.381	1290.4	1054.58	1026.03	704.718
EGLN2	2975.882	4116.425	4681.909	2707.294	2715.216	3592.571	2098.879	1924.906	1459.5894
EGLN3	4	6	4	2	6	11	4	4	3
EGOT	5	8	5	4	3	8	2	2	1
EGR1	439	544	545	487	556	934	790	708	572
EGR2	711.0002	781.9997	848.99958	479	481.0003	676.99958	294.99983	261.00006	194.0003
EGR3	39	43.00005	52	56	68	95.99996	110.99996	83	67
EGR4	0	0	0	0	2	1	1	4	1
EHBP1	852.9317	881.9555	916.954	614	626.0003	842.9596	634.9997	511.0002	366.0003
EHBP1L1	959	1412	1579	1232	1322	2147	1769	1392	954
EHD1	4132	4775	5557	3994	4341	5851	4667	4309	3116
EHD2	28.4985	56.4993	60.5232	48.5246	62.9052	64.3541	82.379	51.9432	52.5193
EHD3	196.334	238.253	246.857	135.962	139.325	178.313	140.466	106.294	72.0933
EHD4	2285	2646	2965	2157	2418	3202	2558	2318	1772
EHF	31	40.99997	43	56.0000713	50	83.999973225	69.9999610642	68	44
EHHADH	504.9236	541.6383	649.3809	451.436	469.2391	591.144	465.354	401.584	264.2455
EHHADH-AS1	2.08761	6.45804	4.33536	3.19161	7.62267	6.45566	4.25702	4.19736	6.35427
EHMT1	1843.0011	1981.9982	2227.0029	1570.9999	1718.996	2334.998	1711.9961	1541.997	1043
EHMT2	1789.997	2133.228	2501.335	1489	1441	2005.995	1361	1208	893
EI24	1161.1144	1292.54	1410.0701	835.9944	892.887	1166.33	784.287	718.663	509.641
EID1	2594	2876	3318	1833	1862	2428	1685	1571	1123
EID2	319	345	404	280	255	388	265	227	178
EID2B	113.36	130.453	167.152	153.998	171.581	245.39	251.126	215.82	160.539
EID3	29	30	29	25	27	36	15	15	17
EIF1	3321	3623	4179	3869	4273	5793	5113	4621	3306
EIF1AD	858.9629	956.627	1059.5583	688.0362	699.2328	895.3356	634.6456	516.1188	433.5986
