TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
ABHD12	636	683	836.9998	641	636.9998	896	757	636.9999	499
ABHD12B	66	71	79	59	76	85	72	67	45
ABHD13	679	718	772	518	510	693	583	519	371
ABHD14A	99.4207	128.966	125.243	88.2791	92.6824	134.084	95.7656	84.6437	71.1091
ABHD14A-ACY1	29.006	24.3082	41.9318	34.8982	17.6464	52.8541	59.697	16.0177	23.7995
ABHD14B	1124	1275.999	1515.995	949	993.9991	1315.999	901.0004	773.0003	599.9997
ABHD15	440.943	491.864	557.82	401.358	420.029	605.575	566.783	447.191	353.5
ABHD16A	351.9999	413.0005	444.9996	368.9998	413.0001	566.9999	471.9998	392.00005	301.9996
ABHD16B	129	151	157	102	97	160	87	93	57
ABHD2	1062.5701	1175.9372	1285.932	943.7832	971.3749	1286.913	1161.531	1041.6356	700.174
ABHD3	451	550	509	498	508	652	596	452	344
ABHD4	128	137	174	251	304	459	363	332	259
ABHD5	204	194.197	234.473	154.094	130.278	196	147	135	104
ABHD6	1023	1091	1235	810	847	1096	752	704	457
ABHD8	277	345	345	226	260	359	287	244	188
ABI1	2536.6915	2668.990104929	2901.0984561	2403.77294	2563.85977	3465.42676	3029.376	2683.5159	1990.5845
ABI2	488.302	526.832	555.286	337.068	383.004	609.048	452.159	375.782	286.555
ABI3	187.39611	223.16603	260.69011	163.025	149.322	232.00881	139.626	116.11673	81.00002
ABI3BP	14	23	19	15	13	17	8	13	15
ABL1	1502	1639	1955.996	1495	1605	2186.001	1736.997	1491	1131
ABL2	1386.7779	1631.739912751	1864.79815	1120.3174857	1159.137844	1755.551857	1113.2174149736	976.1946794	733.7137
ABLIM1	241.00185	271.1573	219.05398	234.107184271	240.9837	327.63689	365.2691	315.20374441	231.1737
ABLIM2	11	7	8	19.99996	18.99996	46.00006	44	38.00001	20.99996
ABLIM3	0	0	0	0	0	0	1	1	0
ABO	0	0	0	0	0	1	0	2	0
ABP1	0	0	0	0	0	0	0	0	0
ABR	1419.9998	1529.99989	1730.0006	1034.00046	1097	1548.0002	1221.00048	1141.9996	810.00031
ABRA	19.6056	36.0205	39.2948	30.2599	22.1056	45.8875	27.8682	25.308	14.6912
ABRACL	216	236	254	163	148	163	139	121	83
ABT1	602	704	793	480	473	604	408	344	269
ABTB1	84	103	115	95	109.00004	167.999849862	189.0002	178.9997	137.0004
ABTB2	717	835	902	772	871	1154	1164	1058	745
ACAA1	517.0001	634.0003	707.9999	462.00001	469.0007	654.0002	553	461.0002	324.9995
ACAA2	2337	2543	2854	1733	1742	2251	1721	1524	1098
ACACA	2305.3533	2486.7123	2719.9317	1391.112	1353.8844	1718.8631	1167.988	1021.3942	690.7192
ACACB	131.062	153.86	190.185	129.386	163.487	227.185	221.5	182.53	139.472
ACAD10	388.0003	372	454	370	385	570	523	426	284.0002
ACAD11	229.812	292.739	300.007	298.04	355.876	496.228	544.481	427.835	340.246
ACAD8	195	229	256	167	180	213	210	181	132
ACAD9	641	721	808	541	476	629	477	375	247.0004
ACADL	0	0	0	0	0	1	0	0	0
ACADM	1381.9974	1419.998	1639.0015	1086.9986	1154.0011	1573.9985	1197.9993	1139	758.0005
ACADS	81	106	114	95	116	135	116	130	78
ACADSB	1522.11	1654.17	1844.76	1250.81	1286.71	1893.08	1389.73	1241.81	867.262
ACADVL	995.4594	1187.5074	1413.2454	1309.6185	1492.3966	2098.7772	1799.4222	1529.169	1190.4875
ACAN	2	2	0	2	1	0	6	0	1
ACAP1	666	797	883	622	607	804	574	468	377
ACAP2	3027.48	3207.45	3570.58	2528.15	2491.54	3513.63	2674.19	2535.3	1797.24
ACAP3	179	186	212	243	267	374	447	364	264
ACAT1	735	771	849	539	502	699	504	400	283
ACAT2	1027.54	1109.17	1245.58	737.727	774.929	900.144	884.933	809.615	534.671
ACBD3	1527	1557	1773	1090	1121	1548	1133	1069	711
ACBD4	86.3894	135.649959385	173.12166	138.138129	145.5208	184.5738278038	201.2355	148.00246655	114.3106
ACBD5	569.025	652.3169	730.17025	607.75866	565.4922	825.1335	571.964000077817	555.54043	412.1813
ACBD6	639	717	805	603	651	969	772	679	471
ACBD7	205.572	340.02	325.664	214.909	231.979	423.989	246.016	220.694	185.681
ACCS	115	96	117.9997	116.99962	115	189.9995	150	127	89.99997
ACCSL	0	0	0	0	1	0	0	1	0
ACD	285	358.0001	360.00043	260	230	343.99974	264	219	175.00026
ACE	7	3	4	7	4	10	7	7	6
ACE2	0	0	0	1	1	0	0	0	1
ACER1	78	72	95	60	58	79	67	52	31
ACER2	79	111	112	151	173	250	303	272	214
ACER3	487.093	508.324	599.128	409.087	442.043	655.403	462.339	421.244	287.348
ACHE	1	4	3	4	11.999976	11	23.00005	23.00002	15
ACIN1	3772.4088	4237.799199335	4892.56090834	3072.720537	3106.398	4595.203	3323.02	2851.498	2178.1926
ACLY	9812	10819	12068.98	7052	7020.004	9051	6841.001	6098.996	4471.003
ACMSD	6	3	4	0	2	2	3	1	1
ACN9	499	549	611	349	370	461	335	316	233
ACO1	1043	1033	1097	824	819	1146	852	790	586
ACO2	3463.07	3537	4047.06	2411.4	2614.52	3424.62	2423.47	2230.08	1548.93
ACOT1	55.0841	77.8354	74.3315	67.374	71.2896	76.2244	52.8888	50.0972	32.8236
ACOT11	4	11	8	7	7	6	10	3	3
ACOT12	0	0	0	1	0	0	0	1	0
ACOT13	617.9788	620.8275	734.4545	447.8046	482.4378	654.236	469.1015	380.3424	259.1675
ACOT2	454.9163	500.1644	602.6683	439.6263	433.7104	585.7754	438.1117	428.9031	272.1766
ACOT4	8	3	4	8	8	12	8	10	2
ACOT6	0	0	1	1	1	1	1	0	1
ACOT7	977.9449	1065.6941	1189.89962	643.9356	598.6662	757.7634	568.55269	470.8549	362.9998
ACOT8	235.552	288.836	311.071	162.121	196.804	260.871	184.27	167.833	118.466
ACOT9	324.0005	321.9996	335.0004	286.0004	270	398.9998	289.0005	257.0004	174
ACOX1	1329.801	1533.6614	1712.619	1119.8929	1263.5642	1660.146	1185.7873	1012.2678	714.8469
ACOX2	0	1	0	1	0	1	1	0	1
ACOX3	316.9996	374	401	264.9999	312.9998	426.0004	339.0002	315.9996	200.0005
ACOXL	229	334	335	240	260	399	282	272	228
ACP1	1539.0048	1562.0009	1777.001	1064.0001	1139.9996	1409.0008	1078.0002	984.9995	668.0004
ACP2	370.99989	353.9998	451.00016	309.93098	313.87628	427.84838	294.9392	256.95614	194.99959
ACP5	3	4	2	6	7	8	9	4	3
ACP6	118	137	148	99	138	177	140	153	86
ACPL2	102.99996	95	100	82	92	129	86	81	60.00004
ACPP	1088.194	1092.78	1247.62	718.466	708.736	878.844	483.785	414.907	309.342
ACPT	114	156	208	98	93	126	105	79	58
ACR	0	0	0	0	0	0	2	1	0
ACRBP	10	4	6	8	15	18	16	19	17
ACRC	65	59	75	85	101	152	116	137	94
ACRV1	15	23.99997976569	17.00000018782	10	10	13.9999514948	6	16	6.999997
ACSBG1	147	180	160	150	168	231	190	146	99
ACSBG2	46	47	42	31	34	38	26	22	13
ACSF2	164	203	253	188	170	220	184	165	113
ACSF3	991.99936	1091.0005	1279.00050205824	851.9999	1021.99948	1366.00076	1076.00027	946.9997	655.00029
ACSL1	2170	2366	2568	1706	1830	2210	1531	1444	1042
ACSL3	2921.002	3059.999	3479.003	2084.004	2060.001	2705	2081.001	1928.996	1341.995
ACSL4	2936	3007	3292	2062.003	2044.003	2684.003	1880	1785.998	1298
ACSL5	1351.9964	1394.0042	1592.9993	1023.9998	1090.9961	1341.9977	955.0003	861.0001	628.99963
ACSL6	32.5993	46.4029000107103	66.5742200343798	47.64927406345	55.75619	70.84486255292	60.49451	43.1862	43.52678684382
ACSM1	5	3	1	0	8	10	7	5	3
ACSM2A	0	8	0	2.60287	5	6.21847	4	3.5213	2.87923
ACSM2B	6	0	6	0	0	1.78153	0	3.06963	2.65836
ACSM3	33.3968	42.7459	47.6411	41.8876	48.6647	52.4499	39.9564	30.29454	33.42062
ACSM4	4	5	4	3	5	3	5	6	6
ACSM5	1	0	1	2	0	1	2	0	0
ACSS1	104	120	140.000000276185	115	130.0002453658	191.00002	216	194.99994	140.9999
ACSS2	239	272	285	238.0004	294.0004	373.9998	286.0001	283.9997	213.9995
ACSS3	6.03371	13.1573	15.1592	8.07385	8.08114	12.1332	11.093	15.1055	4.03343
ACTA1	15.4492	13.9474	16.6593	10.3521	16.8533	35.8163	18.003	18.0694	16.0833
ACTA2	160.9998	212.0001	208.0002	223	255.9998	430	329.0001	272	208.0002
ACTB	118434	118906	135152	69493.5	67922.8	92786.3	50113.4	45101.5	33798.7
ACTBL2	0	0	5	1	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	1.00003	1
ACTG1	35486.831	36005.0379	39711.7269	23737.3144	23496.104	30333.361	19209.349	16819.102397689	12579.893
ACTG1P4	5.00003	8.01982	15.0304	11.0353	16.0459	23.2061	18.0474	17.7813	19.0004
ACTG2	387.905	443.0005	479.9531	440.9077	548.8712	663.9995	495.99983	460.8993	350.89437
ACTL10	48	80	83	60	51	90	81	53	47
ACTL6A	1130.9999	1302.9995	1426.0003	740.9996	724.0002	1011	784	658.0002	455.9994
ACTL6B	1	1	0	0	0	1	1	1	3
ACTL7A	0	1	1	3	2	4	0	2	0
ACTL7B	0	0	0	0	0	2	1	1	0
ACTL8	23	24	23	10	7	9	8	5	9
ACTL9	0	0	0	0	0	0	0	0	1
ACTN1	683.9998	671.0005	745.0841	514	566.9999	743	443.08076	365.9999	299
ACTN1-AS1	0	0	0	0	0	1	1	0	0
ACTN2	2	0	3	0	3	1	1	0	1
ACTN3	1	1	0	2	2	3	2	2	2
ACTN4	7482.16	7754.93	8688.4	5493.27	5709.29	7870.65	5356.53	4906.78	3624.23
ACTR10	548.285	665.568	735.357	457.773	507.029	691.956	544.198	457.467	324.024
ACTR1A	1761	1730	1944	1215	1286	1706	1183	1158	833
ACTR1B	976	1184	1369	828	863	1104	800	731	559
ACTR2	16645.0067	16683.9594	18496.018	11856.9557	11611.9663	14684.0307	10707.9717	9870.0031	6959.0018
ACTR3	9486	10165	11284	7403	7372	9698	6908	6344	4547
ACTR3B	129.55106	157.804	171.7217	102.50197	118.01137	177.418	134.7669	130.5882	89.3305
ACTR3BP2	0	0	0	0	0	1	0	0	1
ACTR3BP5	0	0	0	0	0	0	0	0	0
ACTR3C	27.44893	19.1961	24.27867	36.49802	23.9885	31.582	46.23304	33.41165	18.66953
ACTR5	494	502	563	374	326	532	409	359	260
ACTR6	535.169	608.861	629.044	460.7204	443.154	517.464	468.139	424.0449	301.4528
ACTR8	1099	1154	1243	846	946	1272	977	897	640
ACTRT1	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	1	0
ACTRT3	16	18	19	27	19	35	24	23	18
ACVR1	67	68	88	44	48	80.00001	63	65.00003	42
ACVR1B	247.9999	284.9998	305.0003	216.0002	203.0002	274.99984	198.0000205781	200.9997	135.99965
ACVR1C	9	22.00003	12	16	25.99998	24	25	39	16.99995
ACVR2A	42.1177	71.2193	66.1719	56.1822	41.101	75.3701	64.1158	68.2302	43.0885
ACVR2B	589.207	710.782	734.38	455.237	455.414	660.457	471.799	396.968	315.288
ACVR2B-AS1	53.561	53.4095	81.7704	48.7689	58.8576	80.5279	52.8876	57.3018	39.0116
ACVRL1	18.114	33.5414	37.5114	34.3361	29.167	54.8599	32.6104	32.651	26.2632
ACY1	414.57303	495.726	571.8257	322.8228	320.67122	357.062	210.53768	220.339	144.0915
ACY3	88	90	78	80	83	111	85	77	39
ACYP1	86	126	119	84	74	97	108	93	68
ACYP2	27	32	32	42	28	55	47	39	28
ADA	510	535	643	620	704	902	652	632	473
ADAD1	0	0	0	0	0	0	0	0	0
ADAD2	1	2	4	2	2	6	0	0	2
ADAL	160.5191	164.3432	204.9527	149.8059	163.5345	231.5624	172.6173	136.00129	99.6294
ADAM10	1349	1457	1572	1166	1183	1621	1352	1284	891
ADAM11	14	16	25	11	25	33	31	27	16
ADAM12	0	0	0	0	2	4	7	4	3
ADAM15	268.00024765	318.00026	413.0002	240.9999032885	259.0000128232	339.000131592	265.000064745506	211.999565133839	177.999959762829
ADAM17	657.708	659.333	764.094	526.442	547.94	769.067	661.01	577.024	481.593
ADAM18	0	0	0	0	1	0	0	1	0
ADAM19	8312	9003	10186	6518	6845	9311	7244	6502	4713
ADAM1A	167	166	176	125	138	170	119	121	65
ADAM2	0	0	0	0	0	0	0	0	0
ADAM20	4	5	2	5	10	8	5	6	6
ADAM20P1	8	9	17	13	13	21	19	12	3
ADAM21	1	1	1	2	3	3	1	2	2
ADAM21P1	1	0	0	0	0	0	0	0	0
ADAM22	130.00002	133.9997	145.000000125733	108.000050496	116.000030025946	157.000400066803	131.00000261966	121	88.000065556
ADAM23	2	11	14	4	7	9	11	7	5
ADAM28	52.99997	53.99995	67	69	62	82	46.99996	56.99999	40.99997
ADAM29	3	1	0	1	1	2	4	0	1
ADAM30	0	0	0	0	0	1	0	0	0
ADAM32	4	2	2	5	0	4	3	3	0
ADAM33	17.373	37.4082	30.1561	17.2906	21.6652	41.2956	24.3854	29.655435182	23.3525
ADAM3A	14	16	21	18.000000212744	12	20	9	19	9
ADAM5	0	0	0	0	0	0	0	0	0
ADAM6	0	0	1	0	0	0	4	2	0
ADAM7	0	0	0	0	0	0	0	0	0
ADAM8	652.0004	828.9999	850.9999	624.9993	679.9996	1018	1010.0006	844.0001	653.0003
ADAM9	345.0002	361.0003	410.9996	262.0004	249.0001	361	289.9999	250.0001	176.9999
ADAMDEC1	19.99997	24	32	16	18.00001	18.99997	6	12	5
ADAMTS1	0	0	0	0	0	0	0	0	2
ADAMTS10	0	0	0	0	0	0	0	0	0
ADAMTS12	0	0	0	0	0	1	0	2	1
ADAMTS13	22	19.99998	22.99996	26	21.00002	30.9999818	52	50	33.00002
ADAMTS14	0	0	1	0	1.999999	1.999995	0	0	1.999995
ADAMTS15	0	0	0	0	1	1	0	0	0
ADAMTS16	0	0	1	0	0	0	0	0	0
ADAMTS17	3.15404	18.8601	14.4688	9.46805	22.1228	27.6373	16.916	27.7341	14.7391
ADAMTS18	2	3	0	1	0	3	4	5	3
ADAMTS19	0	0	0	0	0	0	0	0	0
ADAMTS2	36.0974	74.4766	74.7696	45.0631	47.95657	73.56109	49.6219	54.2419	38.2466
ADAMTS20	0	1	0	0	1	0	1	0	0
ADAMTS3	0	0	0	0	0	0	3	0	0
ADAMTS4	66.4353	65.8102	116.012	64.5083	68.5875	131.21	72.3307	62.4496	59.3884
ADAMTS5	2	2	1	0	3	1	2	0	1
ADAMTS6	39	49	57	32	62	74	62	61	34
ADAMTS7	25	22.7147	28	86.9027	106	147.888	217.876	209.881	141.948
ADAMTS8	0	1	0	0	0	0	0	0	0
ADAMTS9	0	0	0	0	1	1	0	0	1
ADAMTS9-AS2	0	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	1	0	0	0
ADAMTSL2	24.302	36.7731	42.5376	26.9283	30.6777	49.504	35.6983	28.98891	29.6699
ADAMTSL3	0	0	1	1	1	1	1	0	0
ADAMTSL4	35.00003	32	64	26.99995	32	66	39	44.000029	33
ADAMTSL5	62.35	80.9806	74.9415	60.7039	61.4722	109.06	92.0182	59.0349	43.5713
ADAP1	1036	1304	1468	929	1018	1414	1049	913	652
ADAP2	56.0383	91.9783	84.1669	36.4708	56.9301	94.8122	49.6163	43.0819	37.8015
ADAR	9839.02644	10127	11436.132	6732.043	6939.045	9058.98	6445.2666	5685.45	4168.1302
ADARB1	23.16655	31.28669	19.77347	22.448883	35.35309	48.38609	65.6952	49.2882	27.6425637871
ADARB2	20.2262	37.1545	29.5059	26.57	25.651	47.4701	34.6085	30.7822	22.5654
ADARB2-AS1	0	1	2	0	2	2	0	0	1
ADAT1	660.711	730.1368	862.5733	594.1799	603.228	886.5766	670.5896	593.2381	420.1956
ADAT2	427.92	481.979	524.613	371.299	367.147	484.158	322.723	269.518	241.653
ADAT3	125	149.341	156.319	94	90	165	78	82.3181	73
ADC	1	2	3	8	15	21	35	27	17
ADCK1	91.00000220405	108	125	90	109	157.0001	105	101	78.00001
ADCK2	325	374	408	301	319	395	372	290	212
ADCK3	983	1031	1195	846	857	1207	995	932	716
ADCK4	453.9996	574	692	417	457	646	521	471.0001	315
ADCK5	239	275	308	266	277	360	300	226	191
ADCY1	65.5172	79.2755	92.8375	62.8847	70.0656	115.93	88.0542	72.5212	50.7167
ADCY10	3	0	1	2	1	2	1	4	1
ADCY10P1	41.2416	39.2747	49.631	58.969	69.6557	96.287	76.556	76.9685	47.1297
ADCY2	14.045	40.2115	48.4468	22.1501	32.3454	52.5381	43.5895	25.1388	20.1208
ADCY3	1349.93	1493.91	1782.03	1417.98	1536.3	2157	1598.93	1288.54	963.614
ADCY4	16.99997	20.00001	25	41.00004	46.99992	59.000042	53.00004	55	43.00001
ADCY5	2	5	4	6	5	9	10	3	4
ADCY6	49.26898	53.86242	60.1243	48.64438	77.21391	110.40833	124.4832	105.26	67.50894
ADCY7	1635	1757	2054	1373	1523	2131	1747	1578	1084
ADCY8	0	0	0	0	0	0	0	0	0
ADCY9	177.209	161	236	192	200	256.269	203	176	138.255
ADCYAP1	2.00248	3	1.03683	2	1.02946	2.00198	2.00277	1.00282	2.07249
ADCYAP1R1	8.5439040948	8.631834748	7.825826651	11.596108029	7.456573297	16.023028173	6.318376153	7.137113007	7.743088787
ADD1	1126.99957	1233.9996	1303.9998	914.99999	916.0003	1256.9958	863.99988	867.00007	622.9997
ADD2	0	0	0	0	0	0	1	0	0
ADD3	1070.99920005352	1042.19454	1151.9889	842.9909	910.98703	1245.001	1075.9657	957.9998	665.971
ADGB	0	0	0	0	0	0	0	0	0
ADH1A	0	0	1	0	0	0	3	1	0
ADH1B	2	0	0	0	0	2	0	1	0
ADH1C	0	0	0	0	0	0	0	0	0
ADH4	113.343	142.316	145.295	117.381	132.108	213.322	145.757	90.273	77.482
ADH5	1238	1425	1474	939	861	1094	806	804	539
ADH6	4	1	3	3	5	5	3	2	1
ADH7	0	0	0	0	0	0	1	1	0
ADHFE1	2	4	5	2	5	3	3	4	1
ADI1	1149	1285	1343	875	972	1271	933	848	654
ADIG	0	0	0	0	1	0	0	1	0
ADIPOQ	76.6548	118.291	126.505	82.8708	81.9565	134.61	115.591	78.9563	63.2614
ADIPOQ-AS1	68.3939	54.3367	70.508	62.6153	62.8881	109.101	64.5244	64.0085	37.7875
ADIPOR1	1146.004	1268.997	1459.999	949.9998	1043.9998	1348.003	923.0004	878.0002	653
ADIPOR2	1832	1882	2043	1340	1410	1811	1342	1220	893
ADIRF	47.9464	68.8887	81.8883	64.9207	69.8688	102.911	70.881	56.8921	40.9312
ADK	810.9997	806.9998	863.99935	474.00018	469	599.9997	420.99989	418.99935	292
ADM	5	2	0	10	21	36	63	45	31
ADM2	20.9076	44.6484	48.1874	44.9807	44.165	70.4664	58.395	74.6827	38.83719
ADM5	136	214	245	113	111	142	106	74	54
ADNP	4343.001	4381	4686	3014.996	3026.002	3995.003	2845	2506.005	1813.995
ADNP2	2014	2171	2513	1532	1498	1922	1366	1076	826
ADO	1209	1281	1457	959	917	1178	760	656	490
ADORA1	1	2	2	5	6	5	10	6	4
ADORA2A	1025.94	1107.26	1260.63	1133.22	1171.75	1615.91	1258.96	1118.54	774.471
ADORA2A-AS1	125.6169	162.0684	172.2269	124.7171	152.9615	220.4437	164.4477	132.1266	101.9055
ADORA2B	76.974	107.84	101.583	72.5689	80.3318	129.107	99.0502	87.6723	50.8114
ADORA3	17	18.00001	24	17	17	27	21	17	9
ADPGK	1302.919	1514.542	1731.704	1043.884	1099.035	1368.892	1123.437	955.953	646.139
ADPGK-AS1	71.0804	83.4592	86.2958	86.175	72.965	147.108	97.5629	85.0471	66.8607
ADPRH	459	526	560	546	567	755	648	591	419
ADPRHL1	55	68	75	39.00003	46	61	53	63	42.99998
ADPRHL2	145	179	206	137	112	145	106	107	72
ADPRM	89	75	112	71	93	116	92	106	58
ADRA1A	7.44803	23.3441	18.766	18.883	15.1993	28.0233	20.7741	11.2726	12.3155
ADRA1B	3	5	3	3	12	7	5	10	6
ADRA1D	0	0	0	0	0	0	1	0	0
ADRA2A	1	0	0	0	0	1	2	1	1
ADRA2B	2	2	2	2	4	8	34	20	19
ADRA2C	0	0	0	0	0	0	0	0	0
ADRB1	8.3539	6.17023	7.11788	9.56475	8.23915	9.30022	10.2294	11.5045	8
ADRB2	86	92	80	260	282	489	600	547	387
ADRB3	8.1008	6.84416	6.65751	11.982	8.38075	10.5234	9.75595	8.4232	3.20042
ADRBK1	4124	4517	5171	3465	3605	5027	3816	3438	2449
ADRBK2	2308.62	2467.99	2710.47	1982.92	1929.81	2778.46	2040.52	1811.71	1327.51
ADRM1	1255.997	1432.997	1670.005	969	999	1387.995	948	786	636.9998
