Well	Well_Type	Plate_No	Source_Well	Molecule_Name	Concentration	Signal_Rep1	Signal_Rep2	Signal_Avg	Signal_Relative_to_DMSO
H14	X	2	M07	Z1143402100	1	26854	26668	26761	0.9759747901
I14	X	2	N07	Z969007916	1	26419	26228	26323.5	0.9600191468
J14	X	2	C09	Z1256159460	1	24751	24592	24671.5	0.8997706376
K14	X	2	D09	Z1256891593	1	27933	27744	27838.5	1.01527126
L14	X	2	E09	Z1652213297	1	28166	27976	28071	1.023750545
M14	X	2	F09	Z363389670	1	26001	25820	25910.5	0.9449570195
N14	X	2	G09	Z1768631383	1	27718	27532	27625	1.007484906
O14	X	2	H09	Z2007467589	1	27357	27180	27268.5	0.9944833363
B15	X	2	G07	Z425610922	0.1	27825	27624	27724.5	1.011113675
C15	X	2	H07	Z30839831	0.1	25867	25680	25773.5	0.9399606238
D15	X	2	I07	Z2003994118	0.1	29107	28884	28995.5	1.057467099
E15	X	2	J07	Z2007959989	0.1	26742	26548	26645	0.9717442652
F15	X	2	K07	Z1919855775	0.1	28557	28340	28448.5	1.037517986
G15	X	2	L07	Z1626505211	0.1	28278	28068	28173	1.027470489
H15	X	2	M07	Z1143402100	0.1	27903	27692	27797.5	1.013775988
I15	X	2	N07	Z969007916	0.1	24884	24704	24794	0.9042382178
J15	X	2	C09	Z1256159460	0.1	29181	28956	29068.5	1.060129412
K15	X	2	D09	Z1256891593	0.1	27726	27520	27623	1.007411966
L15	X	2	E09	Z1652213297	0.1	27973	27764	27868.5	1.016365361
M15	X	2	F09	Z363389670	0.1	27276	27072	27174	0.9910369174
N15	X	2	G09	Z1768631383	0.1	27029	26828	26928.5	0.9820835221
O15	X	2	H09	Z2007467589	0.1	25916	25732	25824	0.9418023609
B17	X	2	I09	Z1664086761	100	24666	24492	24579	0.8963971588
C17	X	2	J09	Z3077929551	100	26616	26412	26514	0.9669666897
D17	X	2	K09	Z2059591546	100	22562	22400	22481	0.8198830109
E17	X	2	L09	Z751963388	100	24053	23872	23962.5	0.873913378
F17	X	2	M09	Z108830236	100	24210	24040	24125	0.8798397598
B18	X	2	I09	Z1664086761	10	28429	28244	28336.5	1.033433341
C18	X	2	J09	Z3077929551	10	26854	26680	26767	0.9761936103
D18	X	2	K09	Z2059591546	10	29229	29024	29126.5	1.062244674
E18	X	2	L09	Z751963388	10	25836	25668	25752	0.9391765179
F18	X	2	M09	Z108830236	10	28635	28444	28539.5	1.04083676
B19	X	2	I09	Z1664086761	1	29660	29468	29564	1.078200317
C19	X	2	J09	Z3077929551	1	30503	30292	30397.5	1.108598097
D19	X	2	K09	Z2059591546	1	27231	27056	27143.5	0.9899245811
E19	X	2	L09	Z751963388	1	28177	27984	28080.5	1.02409701
F19	X	2	M09	Z108830236	1	26259	26100	26179.5	0.9547674607
B20	X	2	I09	Z1664086761	0.1	29745	29528	29636.5	1.080844395
C20	X	2	J09	Z3077929551	0.1	27794	27592	27693	1.009964869
D20	X	2	K09	Z2059591546	0.1	29852	29624	29738	1.084546105
E20	X	2	L09	Z751963388	0.1	26367	26176	26271.5	0.9581227046
F20	X	2	M09	Z108830236	0.1	29927	29704	29815.5	1.087372533
H17	N	2	DMSO	DMSO	DMSO	27789	27588	27688.5	1.009800754
I17	N	2	DMSO	DMSO	DMSO	29036	28812	28924	1.054859491
J17	N	2	DMSO	DMSO	DMSO	25919	25728	25823.5	0.9417841258
K17	N	2	DMSO	DMSO	DMSO	27727	27516	27621.5	1.007357261
L17	N	2	DMSO	DMSO	DMSO	28370	28156	28263	1.030752793
M17	N	2	DMSO	DMSO	DMSO	28113	27900	28006.5	1.021398227
N17	N	2	DMSO	DMSO	DMSO	27116	26912	27014	0.9852017107
O17	N	2	DMSO	DMSO	DMSO	27667	27464	27565.5	1.005314939
H18	N	2	DMSO	DMSO	DMSO	28521	28336	28428.5	1.036788585
I18	N	2	DMSO	DMSO	DMSO	25847	25684	25765.5	0.9396688634
J18	N	2	DMSO	DMSO	DMSO	28328	28132	28230	1.029549282
K18	N	2	DMSO	DMSO	DMSO	26617	26444	26530.5	0.9675684454
L18	N	2	DMSO	DMSO	DMSO	28977	28780	28878.5	1.053200104
M18	N	2	DMSO	DMSO	DMSO	27203	27024	27113.5	0.9888304798
N18	N	2	DMSO	DMSO	DMSO	27432	27248	27340	0.9970909443
O18	N	2	DMSO	DMSO	DMSO	27298	27124	27211	0.9923863089
H19	N	2	DMSO	DMSO	DMSO	28621	28440	28530.5	1.040508529
I19	N	2	DMSO	DMSO	DMSO	29041	28840	28940.5	1.055461246
J19	N	2	DMSO	DMSO	DMSO	24512	24360	24436	0.8911819428
K19	N	2	DMSO	DMSO	DMSO	27514	27328	27421	1.000045018
L19	N	2	DMSO	DMSO	DMSO	27428	27248	27338	0.9970180042
M19	N	2	DMSO	DMSO	DMSO	27332	27148	27240	0.9934439401
N19	N	2	DMSO	DMSO	DMSO	26332	26160	26246	0.9571927185
O19	N	2	DMSO	DMSO	DMSO	27437	27260	27348.5	0.9974009397
H20	N	2	DMSO	DMSO	DMSO	30733	30504	30618.5	1.116657977
I20	N	2	DMSO	DMSO	DMSO	25829	25644	25736.5	0.9386112322
J20	N	2	DMSO	DMSO	DMSO	28454	28236	28345	1.033743336
K20	N	2	DMSO	DMSO	DMSO	26955	26756	26855.5	0.979421209
L20	N	2	DMSO	DMSO	DMSO	28573	28356	28464.5	1.038101506
M20	N	2	DMSO	DMSO	DMSO	25611	25424	25517.5	0.930624293
N20	N	2	DMSO	DMSO	DMSO	27188	26984	27086	0.9878275537
O20	N	2	DMSO	DMSO	DMSO	27001	26808	26904.5	0.9812082411
B22	P	2	CPI	CPI-455	CPI-455	210	232	221	0.00805987925
C22	P	2	CPI	CPI-455	CPI-455	177	176	176.5	0.006436962387
D22	P	2	CPI	CPI-455	CPI-455	254	252	253	0.009226920589
E22	P	2	CPI	CPI-455	CPI-455	242	240	241	0.008789280087
F22	P	2	CPI	CPI-455	CPI-455	258	256	257	0.009372800757
G22	P	2	CPI	CPI-455	CPI-455	230	228	229	0.008351639585
H22	P	2	CPI	CPI-455	CPI-455	218	216	217	0.007913999083
I22	P	2	CPI	CPI-455	CPI-455	198	196	197	0.007184598245
J22	P	2	CPI	CPI-455	CPI-455	210	208	209	0.007622238748
K22	P	2	CPI	CPI-455	CPI-455	202	200	201	0.007330478413
L22	P	2	CPI	CPI-455	CPI-455	198	196	197	0.007184598245
M22	P	2	CPI	CPI-455	CPI-455	202	200	201	0.007330478413
N22	P	2	CPI	CPI-455	CPI-455	266	264	265	0.009664561092
O22	P	2	CPI	CPI-455	CPI-455	223	244	233.5	0.008515754773
