Well	Well_Type	Plate_No	Source_Well	Molecule_Name	Concentration	Signal_Rep1	Signal_Rep2	Signal_Avg	Signal_Relative_to_DMSO
H08	X	1	K05	Z2630967643	10	25084	24892	24988	1.092085136
I08	X	1	L05	Z228965686	10	12450	12384	12417	0.5426773305
J08	X	1	M05	Z229693980	10	25358	25168	25263	1.104103842
K08	X	1	N05	Z982827524	10	12539	12468	12503.5	0.5464577597
L08	X	1	C07	Z771854040	10	25060	24884	24972	1.091385866
M08	X	1	D07	Z2608572207	10	12763	12692	12727.5	0.5562475416
N08	X	1	E07	Z1431990376	10	24381	24200	24290.5	1.061601329
O08	X	1	F07	Z1625720508	10	13419	13348	13383.5	0.5849176172
B09	X	1	E05	Z4327149776	1	24464	24292	24378	1.065425462
C09	X	1	F05	Z2007528460	1	14535	14444	14489.5	0.6332546654
D09	X	1	G05	Z2372639318	1	18139	18012	18075.5	0.7899785849
E09	X	1	H05	Z2850037561	1	15209	15112	15160.5	0.6625803068
F09	X	1	I05	Z2008753592	1	22412	22260	22336	0.976181111
G09	X	1	J05	Z2512006163	1	17316	17208	17262	0.7544250688
H09	X	1	K05	Z2630967643	1	23700	23536	23618	1.032210131
I09	X	1	L05	Z228965686	1	16829	16720	16774.5	0.7331191819
J09	X	1	M05	Z229693980	1	22322	22172	22247	0.9722914208
K09	X	1	N05	Z982827524	1	16643	16536	16589.5	0.7250338709
L09	X	1	C07	Z771854040	1	22517	22364	22440.5	0.980748219
M09	X	1	D07	Z2608572207	1	16593	16488	16540.5	0.7228923561
N09	X	1	E07	Z1431990376	1	22792	22636	22714	0.9927013679
O09	X	1	F07	Z1625720508	1	16533	16436	16484.5	0.7204449106
B10	X	1	E05	Z4327149776	0.1	23316	23140	23228	1.015165421
C10	X	1	F05	Z2007528460	0.1	15066	14964	15015	0.656221319
D10	X	1	G05	Z2372639318	0.1	25153	24948	25050.5	1.09481666
E10	X	1	H05	Z2850037561	0.1	16749	16632	16690.5	0.7294480136
F10	X	1	I05	Z2008753592	0.1	24709	24516	24612.5	1.07567414
G10	X	1	J05	Z2512006163	0.1	20438	20288	20363	0.8899523622
H10	X	1	K05	Z2630967643	0.1	24244	24056	24150	1.055460863
I10	X	1	L05	Z228965686	0.1	16522	16408	16465	0.7195926751
J10	X	1	M05	Z229693980	0.1	24703	24508	24605.5	1.075368209
K10	X	1	N05	Z982827524	0.1	17951	17824	17887.5	0.7817621607
L10	X	1	C07	Z771854040	0.1	24346	24156	24251	1.059875005
M10	X	1	D07	Z2608572207	0.1	18622	18488	18555	0.8109348368
N10	X	1	E07	Z1431990376	0.1	24127	23940	24033.5	1.050369302
O10	X	1	F07	Z1625720508	0.1	19225	19092	19158.5	0.8373104322
B12	X	1	G07	Z425610922	100	8332	8296	8314	0.3633582448
C12	X	1	H07	Z30839831	100	15708	15584	15646	0.683798785
D12	X	1	I07	Z2003994118	100	7757	7720	7738.5	0.3382063721
E12	X	1	J07	Z2007959989	100	14952	14840	14896	0.6510204974
