Well	Well_Type	Plate_No	Source_Well	Molecule_Name	Concentration	Signal_Rep1	Signal_Rep2	Signal_Avg	Signal_Relative_to_DMSO
I12	X	1	I05	CB17777655	0.1	95983	95244	95613.5	1.106232461
J12	X	1	J05	CB43433036	0.1	84230	83624	83927	0.9710215795
C15	N	1	DMSO	DMSO	DMSO	89962	89308	89635	
D15	N	1	DMSO	DMSO	DMSO	96086	95344	95715	
E15	N	1	DMSO	DMSO	DMSO	82315	81708	82011.5	
F15	N	1	DMSO	DMSO	DMSO	88920	88236	88578	
G15	N	1	DMSO	DMSO	DMSO	85428	84788	85108	
H15	N	1	DMSO	DMSO	DMSO	86427	85772	86099.5	
I15	N	1	DMSO	DMSO	DMSO	84989	84356	84672.5	
J15	N	1	DMSO	DMSO	DMSO	89207	88524	88865.5	
K15	N	1	DMSO	DMSO	DMSO	83993	83368	83680.5	
L15	N	1	DMSO	DMSO	DMSO	88213	87532	87872.5	
M15	N	1	DMSO	DMSO	DMSO	77217	76648	76932.5	
N15	N	1	DMSO	DMSO	DMSO	83272	82648	82960	
C16	N	1	DMSO	DMSO	DMSO	93209	92596	92902.5	
D16	N	1	DMSO	DMSO	DMSO	89827	89240	89533.5	
E16	N	1	DMSO	DMSO	DMSO	85730	85156	85443	
F16	N	1	DMSO	DMSO	DMSO	80156	79644	79900	
G16	N	1	DMSO	DMSO	DMSO	88312	87712	88012	
H16	N	1	DMSO	DMSO	DMSO	85019	84464	84741.5	
I16	N	1	DMSO	DMSO	DMSO	92515	91880	92197.5	
J16	N	1	DMSO	DMSO	DMSO	84445	83900	84172.5	
K16	N	1	DMSO	DMSO	DMSO	89203	88596	88899.5	
L16	N	1	DMSO	DMSO	DMSO	81277	80756	81016.5	
M16	N	1	DMSO	DMSO	DMSO	82871	82312	82591.5	
N16	N	1	DMSO	DMSO	DMSO	80041	79532	79786.5	
C17	N	1	DMSO	DMSO	DMSO	89987	89340	89663.5	
D17	N	1	DMSO	DMSO	DMSO	96096	95364	95730	
E17	N	1	DMSO	DMSO	DMSO	86080	85444	85762	
F17	N	1	DMSO	DMSO	DMSO	86246	85596	85921	
G17	N	1	DMSO	DMSO	DMSO	83643	83028	83335.5	
H17	N	1	DMSO	DMSO	DMSO	88284	87620	87952	
J17	N	1	DMSO	DMSO	DMSO	88071	87420	87745.5	
I17	N	1	DMSO	DMSO	DMSO	91073	90384	90728.5	
K17	N	1	DMSO	DMSO	DMSO	87043	86400	86721.5	
L17	N	1	DMSO	DMSO	DMSO	90466	89776	90121	
M17	N	1	DMSO	DMSO	DMSO	82161	81556	81858.5	
N17	N	1	DMSO	DMSO	DMSO	84987	84360	84673.5	
C20	P	1	CPI-455	CPI-455	CPI-455	107	176	141.5	
D20	P	1	CPI-455	CPI-455	CPI-455	230	228	229	
E20	P	1	CPI-455	CPI-455	CPI-455	117	116	116.5	
F20	P	1	CPI-455	CPI-455	CPI-455	270	268	269	
G20	P	1	CPI-455	CPI-455	CPI-455	125	124	124.5	
H20	P	1	CPI-455	CPI-455	CPI-455	125	124	124.5	
I20	P	1	CPI-455	CPI-455	CPI-455	129	128	128.5	
J20	P	1	CPI-455	CPI-455	CPI-455	137	136	136.5	
K20	P	1	CPI-455	CPI-455	CPI-455	177	176	176.5	
L20	P	1	CPI-455	CPI-455	CPI-455	129	128	128.5	
M20	P	1	CPI-455	CPI-455	CPI-455	315	312	313.5	
N20	P	1	CPI-455	CPI-455	CPI-455	72	136	104	
C03	X	2	C03	CB20405562	100	7698	7784	7741	0.08835343148
D03	X	2	D03	CB72802973	100	15878	15800	15839	0.1807815529
E03	X	2	E03	CB67346361	100	2314	2356	2335	0.0266509834
F03	X	2	F03	CB16295086	100	203	248	225.5	0.002573788761
G03	X	2	G03	CB83147402	100	278	344	311	0.003549659888
H03	X	2	H03	CB90512907	100	6023	6036	6029.5	0.0688188884
I03	X	2	I03	CB34843398	100	10697	10656	10676.5	0.1218583402
J03	X	2	J03	CB40551911	100	234	276	255	0.002910492834
K03	X	2	K03	CB49651708	100	1484	1520	1502	0.01714337348
L03	X	2	L03	CB97439664	100	5054	5056	5055	0.0576962403
M03	X	2	M03	CB32128362	100	2132	2160	2146	0.02449379459
N03	X	2	N03	CB63893507	100	24691	24564	24627.5	0.2810908324
C04	X	2	C03	CB20405562	10	89634	88984	89309	1.0193459
D04	X	2	D03	CB72802973	10	83491	82884	83187.5	0.9494769515
E04	X	2	E03	CB67346361	10	67834	67344	67589	0.7714403928
F04	X	2	F03	CB16295086	10	56520	56148	56334	0.6429792287
G04	X	2	G03	CB83147402	10	80147	79532	79839.5	0.9112638926
H04	X	2	H03	CB90512907	10	79419	78828	79123.5	0.9030916853
I04	X	2	I03	CB34843398	10	71427	70896	71161.5	0.8122158267
J04	X	2	J03	CB40551911	10	46336	46040	46188	0.527175855
K04	X	2	K03	CB49651708	10	58358	57928	58143	0.6636266072
L04	X	2	L03	CB97439664	10	60130	59684	59907	0.6837603694
M04	X	2	M03	CB32128362	10	38048	37812	37930	0.4329215419
N04	X	2	N03	CB63893507	10	57748	57360	57554	0.6569039395
C05	X	2	C03	CB20405562	1	88531	87984	88257.5	1.007344397
D05	X	2	D03	CB72802973	1	101897	101184	101540.5	1.15895254
E05	X	2	E03	CB67346361	1	89324	88728	89026	1.016115824
F05	X	2	F03	CB16295086	1	98621	97904	98262.5	1.12153844
G05	X	2	G03	CB83147402	1	85348	84788	85068	0.9709404094
H05	X	2	H03	CB90512907	1	88664	88060	88362	1.008537129
I05	X	2	I03	CB34843398	1	82541	81988	82264.5	0.9389421088
J05	X	2	J03	CB40551911	1	85532	84920	85226	0.9727437736
K05	X	2	K03	CB49651708	1	77916	77392	77654	0.886319257
L05	X	2	L03	CB97439664	1	82339	81760	82049.5	0.9364881638
M05	X	2	M03	CB32128362	1	68749	68280	68514.5	0.7820037697
N05	X	2	N03	CB63893507	1	72328	71848	72088	0.8227906173
C06	X	2	C03	CB20405562	0.1	96260	95556	95908	1.094664889
D06	X	2	D03	CB72802973	0.1	97537	96812	97174.5	1.109120337
E06	X	2	E03	CB67346361	0.1	95260	94540	94900	1.083159882
F06	X	2	F03	CB16295086	0.1	86075	85452	85763.5	0.9788786359
